round,accuracy,detection_rate,false_positive_rate
1,0.9278794160057678,0.7506974649270685,0.006100031570460823
2,0.9266008020908436,0.7473486745275943,0.0062634920839114445
3,0.9274119051910599,0.7495929397716501,0.00607556943427532
4,0.9277780281182408,0.745115876098838,0.004159443833523482
5,0.926882435111752,0.7425506512769988,0.0041944527807291215
6,0.933258606705119,0.777941858396889,0.00866748371243711
7,0.9331910147801009,0.778229325383233,0.008846473227741194
8,0.9341936283345349,0.7805352782654594,0.00855088548240607
9,0.9332867700072098,0.7780454424035184,0.00866748371243711
10,0.9336021989906274,0.7797506579494788,0.008972880775480007
11,0.9367733868060562,0.7789031062529709,0.004323438686500019
12,0.9363903658976207,0.7775465803072152,0.004194890723008774
13,0.9367733868060562,0.7789031062529709,0.004323438686500019
14,0.9363903658976207,0.7775465803072152,0.004194890723008774
15,0.93676212148522,0.7788616466179795,0.004323438686500019
16,0.9371902036770007,0.7798088813725508,0.004167170733954643
17,0.9418371485219899,0.8094999756012068,0.008852379972496988
18,0.9405134733237203,0.8068009863079774,0.00940688387785638
19,0.9411612292718097,0.8085136147300778,0.009328657430341792
20,0.9418371485219899,0.8094999756012068,0.008852379972496988
