Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4200
Accuracy: 0.9629326718
Detection Rate: 0.8865895686
False Positive Rate: 0.0085476698

--- Per-Round Attention Weights ---
  Client 9: DR=0.8208, FPR=0.0065, Score=0.8155
  Client 10: DR=0.8208, FPR=0.0065, Score=0.8155
  Client 11: DR=0.8210, FPR=0.0065, Score=0.8157
Round 7: α = [0.08308058244520194, 0.08344640630200922, 0.08344279405398858, 0.08345627998632477, 0.08311438802910434, 0.08344640630200922, 0.08344640630200922, 0.08344640630200922, 0.08344640630200922, 0.08311075387186917, 0.08311075387186917, 0.08345241623159588]
  Client 0: DR=0.8162, FPR=0.0061, Score=0.8112
  Client 1: DR=0.8209, FPR=0.0065, Score=0.8156
  Client 2: DR=0.8206, FPR=0.0061, Score=0.8156
  Client 3: DR=0.8210, FPR=0.0065, Score=0.8157
  Client 4: DR=0.8169, FPR=0.0065, Score=0.8116
  Client 5: DR=0.8209, FPR=0.0065, Score=0.8156
  Client 6: DR=0.8209, FPR=0.0065, Score=0.8156
  Client 7: DR=0.8209, FPR=0.0065, Score=0.8156
  Client 8: DR=0.8209, FPR=0.0065, Score=0.8156
  Client 9: DR=0.8169, FPR=0.0065, Score=0.8116
  Client 10: DR=0.8169, FPR=0.0065, Score=0.8116
  Client 11: DR=0.8210, FPR=0.0065, Score=0.8157
Round 8: α = [0.08317332225381248, 0.08311613247049018, 0.08333191954342714, 0.08392803850578057, 0.08333191954342714, 0.08355972791238282, 0.08316869305909552, 0.08316719508618323, 0.08317746744227458, 0.08311243060893228, 0.08333191954342714, 0.08360123403076676]
  Client 0: DR=0.8201, FPR=0.0065, Score=0.8148
  Client 1: DR=0.8191, FPR=0.0061, Score=0.8141
  Client 2: DR=0.8217, FPR=0.0061, Score=0.8167
  Client 3: DR=0.8292, FPR=0.0065, Score=0.8238
  Client 4: DR=0.8217, FPR=0.0061, Score=0.8167
  Client 5: DR=0.8244, FPR=0.0061, Score=0.8194
  Client 6: DR=0.8197, FPR=0.0061, Score=0.8147
