round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8919095509937394,0.8224163909799983,0.041717935575874894,0.12864043189741894
2,0.9078499350837715,0.7872782969990929,0.011577843238298692,0.12088849868563915
3,0.9109591548780109,0.7785962310775865,0.00452729717030303,0.11962601164096957
4,0.9119223370968786,0.7793897154414859,0.004309034487147442,0.11890746905145169
5,0.9119645819310395,0.7795981273344113,0.004504148097847135,0.11861079753309953
6,0.911744908793403,0.7795298003572955,0.004662884594687562,0.11820836534783388
7,0.9117646230493448,0.7719831816478444,0.0006184109356074995,0.11789738321383544
8,0.9108521346314702,0.7714519962309827,0.0008763577429731944,0.11759383880462909
9,0.9127953970028697,0.7805558326912797,0.004292499435393231,0.1174024502906603
10,0.9120209083765874,0.7729759126971825,0.0010086381570068841,0.11727900732659828
11,0.9130122538182289,0.7808084533382307,0.004239587269779755,0.11727730123750565
12,0.9137388649657958,0.7819113811262406,0.004434700880479448,0.11712783190621426
13,0.9136262120747001,0.7816016990098994,0.004279271393989863,0.1170332776099213
14,0.9106409104606658,0.7713580831692531,0.0008432876394647718,0.11698034688608465
15,0.9102438090195537,0.7710677576530858,0.000816831556658034,0.11710057232411085
16,0.9058785094895979,0.7661074854381343,0.0006117969149058149,0.11694201300143757
17,0.911125317892377,0.7720498199252752,0.0008399806291139297,0.11690212911177128
18,0.9111872769824797,0.7720619387098782,0.0008763577429731944,0.1169007475151883
19,0.9082836487144897,0.7684148320757315,0.0005158936147313898,0.1167834498342567
20,0.9110351955795005,0.7713316259536931,0.0005390426871872856,0.11688077721807577
