Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 16
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.7000
Accuracy: 0.9660801954
Detection Rate: 0.8880227318
False Positive Rate: 0.0047597090

--- Per-Round Attention Weights ---
  Client 4: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 5: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 7: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 8: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 9: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 10: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 11: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 12: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 13: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 14: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9172, FPR=0.0632, Score=0.8592
Round 6: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 1: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 2: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 3: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 4: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 5: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 7: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 8: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 9: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 10: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 11: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 12: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 13: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 14: DR=0.9172, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9172, FPR=0.0632, Score=0.8592
Round 7: α = [0.06249892301991688, 0.06250019792297737, 0.06250019792297737, 0.06250019792297737, 0.06250019792297737, 0.0625016921398857, 0.06249892301991688, 0.06249892301991688, 0.06249892301991688, 0.06250019792297737, 0.06249892301991688, 0.06250019792297737, 0.06250019792297737, 0.06249892301991688, 0.0625016921398857, 0.0625016921398857]
  Client 0: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 1: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 2: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 3: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 4: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 5: DR=0.9171, FPR=0.0632, Score=0.8592
  Client 6: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 7: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 8: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 9: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 10: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 11: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 12: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 13: DR=0.9171, FPR=0.0632, Score=0.8591
  Client 14: DR=0.9171, FPR=0.0632, Score=0.8592
  Client 15: DR=0.9171, FPR=0.0632, Score=0.8592
Round 8: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 1: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 2: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 3: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 4: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 5: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 6: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 7: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 8: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 9: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 10: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 11: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 12: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 13: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 14: DR=0.9460, FPR=0.0633, Score=0.8862
  Client 15: DR=0.9460, FPR=0.0633, Score=0.8862
Round 9: α = [0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250038828988085, 0.0624770699595625, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250170411235968, 0.06250038828988085, 0.06250170411235968, 0.06250170411235968]
  Client 0: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 1: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 2: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 3: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 4: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 5: DR=0.9461, FPR=0.0632, Score=0.8863
  Client 6: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 7: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 8: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 9: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 10: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 11: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 12: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 13: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 14: DR=0.9465, FPR=0.0632, Score=0.8867
  Client 15: DR=0.9465, FPR=0.0632, Score=0.8867
Round 10: α = [0.062495582897422255, 0.0625011864157358, 0.062495582897422255, 0.06250112923444033, 0.06250112923444033, 0.06250112923444033, 0.0625011864157358, 0.062495582897422255, 0.06250541797677564, 0.06250541797677564, 0.0625011864157358, 0.0625011864157358, 0.06250192977733748, 0.0625011864157358, 0.062495582897422255, 0.062495582897422255]
  Client 0: DR=0.9460, FPR=0.0630, Score=0.8864
  Client 1: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 2: DR=0.9460, FPR=0.0630, Score=0.8864
  Client 3: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 4: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 5: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 6: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 7: DR=0.9460, FPR=0.0630, Score=0.8864
  Client 8: DR=0.9460, FPR=0.0628, Score=0.8866
  Client 9: DR=0.9460, FPR=0.0628, Score=0.8866
  Client 10: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 11: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 12: DR=0.9460, FPR=0.0628, Score=0.8865
  Client 13: DR=0.9460, FPR=0.0629, Score=0.8865
  Client 14: DR=0.9460, FPR=0.0630, Score=0.8864
  Client 15: DR=0.9460, FPR=0.0630, Score=0.8864
Round 11: α = [0.06249992418671622, 0.06250007581328379, 0.06250007581328379, 0.06249992418671622, 0.06249992418671622, 0.06249992418671622, 0.06250007581328379, 0.06250007581328379, 0.06249992418671622, 0.06249992418671622, 0.06249992418671622, 0.06250007581328379, 0.06250007581328379, 0.06249992418671622, 0.06250007581328379, 0.06250007581328379]
  Client 0: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 1: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 2: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 3: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 4: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 5: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 6: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 7: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 8: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 9: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 10: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 11: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 12: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 13: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 14: DR=0.9465, FPR=0.0629, Score=0.8869
  Client 15: DR=0.9465, FPR=0.0629, Score=0.8869
Round 12: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 1: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 2: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 3: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 4: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 5: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 6: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 7: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 8: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 9: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 10: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 11: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 12: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 13: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 14: DR=0.9466, FPR=0.0628, Score=0.8871
  Client 15: DR=0.9466, FPR=0.0628, Score=0.8871
Round 13: α = [0.06250009624086542, 0.062499792985808315, 0.06250009624086542, 0.06250013619471785, 0.062499792985808315, 0.06250013619471785, 0.06250013619471785, 0.06250009624086542, 0.062499792985808315, 0.06250013619471785, 0.06250013619471785, 0.062499964590027504, 0.06250013619471785, 0.062499964590027504, 0.062499792985808315, 0.062499792985808315]
  Client 0: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 1: DR=0.9464, FPR=0.0629, Score=0.8868
  Client 2: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 3: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 4: DR=0.9464, FPR=0.0629, Score=0.8868
  Client 5: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 6: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 7: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 8: DR=0.9464, FPR=0.0629, Score=0.8868
  Client 9: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 10: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 11: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 12: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 13: DR=0.9464, FPR=0.0629, Score=0.8869
  Client 14: DR=0.9464, FPR=0.0629, Score=0.8868
  Client 15: DR=0.9464, FPR=0.0629, Score=0.8868
Round 14: α = [0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06250066975367277, 0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06249930254329217, 0.06250427455794552, 0.06249930254329217, 0.06249930254329217, 0.06250412262558343, 0.06249930254329217]
  Client 0: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 1: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 2: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 3: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 4: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 5: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 6: DR=0.9466, FPR=0.0611, Score=0.8888
  Client 7: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 8: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 9: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 10: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 11: DR=0.9466, FPR=0.0611, Score=0.8888
  Client 12: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 13: DR=0.9466, FPR=0.0611, Score=0.8887
  Client 14: DR=0.9466, FPR=0.0611, Score=0.8888
  Client 15: DR=0.9466, FPR=0.0611, Score=0.8887
Round 15: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 1: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 2: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 3: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 4: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 5: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 6: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 7: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 8: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 9: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 10: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 11: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 12: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 13: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 14: DR=0.9464, FPR=0.0610, Score=0.8887
  Client 15: DR=0.9464, FPR=0.0610, Score=0.8887
Round 16: α = [0.06249987125636075, 0.0625002145727321, 0.06249987125636075, 0.06249987125636075, 0.0625002145727321, 0.06249987125636075, 0.06249987125636075, 0.06249987125636075, 0.0625002145727321, 0.06249987125636075, 0.0625002145727321, 0.06249987125636075, 0.06249987125636075, 0.06249987125636075, 0.0625002145727321, 0.0625002145727321]
  Client 0: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 1: DR=0.9466, FPR=0.0605, Score=0.8893
  Client 2: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 3: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 4: DR=0.9466, FPR=0.0605, Score=0.8893
  Client 5: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 6: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 7: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 8: DR=0.9466, FPR=0.0605, Score=0.8893
  Client 9: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 10: DR=0.9466, FPR=0.0605, Score=0.8893
  Client 11: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 12: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 13: DR=0.9466, FPR=0.0606, Score=0.8893
  Client 14: DR=0.9466, FPR=0.0605, Score=0.8893
  Client 15: DR=0.9466, FPR=0.0605, Score=0.8893
Round 17: α = [0.06249827267396115, 0.06249827267396115, 0.06250222084670154, 0.06250222084670154, 0.06249827267396115, 0.06250222084670154, 0.06249827267396115, 0.06249827267396115, 0.06249827267396115, 0.06249815823789092, 0.06249827267396115, 0.06250222084670154, 0.06250222084670154, 0.06250233529021053, 0.06249827267396115, 0.06250222084670154]
  Client 0: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 1: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 2: DR=0.9467, FPR=0.0600, Score=0.8899
  Client 3: DR=0.9467, FPR=0.0600, Score=0.8899
  Client 4: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 5: DR=0.9467, FPR=0.0600, Score=0.8899
  Client 6: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 7: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 8: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 9: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 10: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 11: DR=0.9467, FPR=0.0600, Score=0.8899
  Client 12: DR=0.9467, FPR=0.0600, Score=0.8899
  Client 13: DR=0.9467, FPR=0.0599, Score=0.8899
  Client 14: DR=0.9467, FPR=0.0600, Score=0.8898
  Client 15: DR=0.9467, FPR=0.0600, Score=0.8899
Round 18: α = [0.06250023603137729, 0.06250023603137729, 0.062499892713010326, 0.06250023603137729, 0.062499892713010326, 0.062499892713010326, 0.062499892713010326, 0.062499892713010326, 0.062499892713010326, 0.06250023603137729, 0.062499892713010326, 0.062499892713010326, 0.062499892713010326, 0.062499892713010326, 0.06250023603137729, 0.062499892713010326]
  Client 0: DR=0.9467, FPR=0.0599, Score=0.8899
  Client 1: DR=0.9467, FPR=0.0599, Score=0.8899
  Client 2: DR=0.9467, FPR=0.0599, Score=0.8899
  Client 3: DR=0.9467, FPR=0.0599, Score=0.8899
