round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.891527,0.031839,0.618854,0.115945,0.006471,0.000396
2,0.933313,0.000398,0.778402,0.000645,0.008765,0.000296
3,0.940509,0.001024,0.803808,0.005023,0.008485,0.000535
4,0.942223,0.003355,0.803170,0.014816,0.005838,0.001034
5,0.944112,0.001137,0.807825,0.003467,0.004994,0.000464
6,0.954151,0.001558,0.854451,0.004373,0.008612,0.000527
7,0.956040,0.001218,0.858040,0.004143,0.007376,0.000855
8,0.964763,0.000647,0.889436,0.002042,0.007088,0.001404
9,0.966013,0.000749,0.888803,0.000307,0.005103,0.001088
10,0.965458,0.000178,0.888944,0.000547,0.005953,0.000461
11,0.965874,0.000842,0.888811,0.000407,0.005360,0.001060
12,0.965707,0.000028,0.887370,0.001791,0.005014,0.000637
13,0.965966,0.000657,0.888349,0.000622,0.005017,0.000961
14,0.966160,0.000727,0.888546,0.000669,0.004843,0.000805
15,0.966404,0.000731,0.889752,0.000596,0.004932,0.000797
16,0.966286,0.000490,0.889116,0.000500,0.004875,0.000743
17,0.966160,0.000685,0.890353,0.001767,0.005546,0.001226
18,0.966547,0.000809,0.891409,0.001444,0.005429,0.000767
19,0.966931,0.000072,0.894084,0.002068,0.005884,0.000769
20,0.966941,0.000355,0.893573,0.001485,0.005641,0.000933
