round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.822913,0.230636,0.485745,0.226603,0.021387,0.030027
2,0.950735,0.042646,0.621838,0.310393,0.096667,0.123324
3,0.944789,0.036279,0.706792,0.203725,0.089689,0.119969
4,0.955361,0.044466,0.798703,0.072113,0.008655,0.007991
5,0.974115,0.017825,0.740064,0.144665,0.022093,0.026158
6,0.935790,0.062188,0.885736,0.054155,0.138794,0.157943
7,0.950993,0.026234,0.703722,0.184924,0.006630,0.002422
8,0.934438,0.068656,0.882017,0.044678,0.067506,0.055903
9,0.958126,0.037495,0.806390,0.066702,0.026280,0.018063
10,0.982803,0.003869,0.801017,0.185745,0.056778,0.075812
11,0.978644,0.002455,0.675020,0.216965,0.134724,0.180989
12,0.978631,0.012124,0.776018,0.172138,0.006389,0.003278
13,0.967601,0.005729,0.683278,0.202165,0.127165,0.175319
14,0.981053,0.007178,0.649997,0.180124,0.006080,0.002347
15,0.961886,0.038290,0.800744,0.048083,0.046001,0.044876
16,0.970000,0.010172,0.719475,0.143039,0.005725,0.002522
17,0.953319,0.026957,0.769318,0.032474,0.003050,0.001235
18,0.955929,0.020044,0.802507,0.160791,0.059589,0.082887
19,0.980522,0.005188,0.803388,0.154620,0.058755,0.072768
20,0.981249,0.015095,0.730463,0.120992,0.005063,0.003500
