round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.819358,0.083878,0.343944,0.313906,0.003136,0.001957
2,0.888418,0.031780,0.607250,0.120563,0.006564,0.001479
3,0.933750,0.000489,0.779004,0.001752,0.008498,0.000065
4,0.939131,0.004509,0.795965,0.014056,0.007411,0.001208
5,0.942041,0.002824,0.801441,0.011045,0.005413,0.000212
6,0.941011,0.003163,0.797810,0.013313,0.005470,0.002264
7,0.941119,0.000195,0.806967,0.000301,0.008766,0.000156
8,0.945034,0.003271,0.816514,0.014031,0.006970,0.002165
9,0.947863,0.002321,0.824612,0.012547,0.006087,0.001728
10,0.953002,0.001752,0.847104,0.008784,0.007469,0.001008
11,0.954392,0.000309,0.853414,0.001285,0.007866,0.000069
12,0.957011,0.001451,0.862888,0.005172,0.007854,0.000765
13,0.964224,0.000379,0.887345,0.002083,0.007051,0.000414
14,0.964853,0.000379,0.889290,0.001507,0.006900,0.000427
15,0.965007,0.000224,0.888285,0.001648,0.006336,0.000867
16,0.965473,0.000817,0.889125,0.001908,0.005999,0.001616
17,0.965704,0.000197,0.886947,0.000627,0.004879,0.000147
18,0.965912,0.000437,0.888299,0.001036,0.005074,0.000736
19,0.966015,0.000445,0.887703,0.000836,0.004739,0.000345
20,0.966338,0.000283,0.888457,0.000688,0.004594,0.000600
