round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.895964,0.034345,0.636861,0.109172,0.003055,0.003083
2,0.908258,0.052924,0.853561,0.076448,0.005903,0.001392
3,0.929798,0.037125,0.785543,0.123290,0.004588,0.001194
4,0.931424,0.041050,0.767136,0.101024,0.003152,0.001113
5,0.928388,0.061465,0.815614,0.113524,0.003823,0.001707
6,0.964373,0.013051,0.750368,0.155578,0.001740,0.001518
7,0.958055,0.021441,0.774988,0.120075,0.003343,0.001314
8,0.957546,0.026633,0.838415,0.108467,0.007564,0.006435
9,0.975534,0.006774,0.810734,0.124226,0.009190,0.011011
10,0.954594,0.028462,0.783813,0.139113,0.003507,0.001580
11,0.973092,0.008334,0.811341,0.134886,0.002315,0.001849
12,0.963426,0.017956,0.844879,0.094137,0.003166,0.001260
13,0.956056,0.019007,0.787136,0.128737,0.009868,0.011047
14,0.970805,0.010334,0.818368,0.108323,0.005494,0.005457
15,0.942652,0.054306,0.858719,0.093442,0.006603,0.004512
16,0.962451,0.006286,0.764404,0.115305,0.008356,0.009770
17,0.955172,0.026273,0.866743,0.065616,0.005920,0.004382
18,0.968528,0.011152,0.856554,0.058780,0.003627,0.001144
19,0.951255,0.011523,0.847510,0.060984,0.004055,0.001056
20,0.975574,0.007990,0.839427,0.092608,0.003311,0.000910
