round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.931020,0.003526,0.763386,0.015490,0.006357,0.000995
2,0.931896,0.002869,0.766613,0.013115,0.006360,0.000998
3,0.929684,0.000663,0.758477,0.002432,0.006358,0.000996
4,0.928929,0.001285,0.754107,0.004242,0.005763,0.000181
5,0.928904,0.001453,0.755602,0.005890,0.006356,0.000993
6,0.928526,0.001055,0.754214,0.005227,0.006356,0.000993
7,0.928177,0.000802,0.752937,0.004481,0.006358,0.000996
8,0.928511,0.001156,0.754166,0.004900,0.006358,0.000996
9,0.928535,0.001185,0.752651,0.004472,0.005760,0.001643
10,0.928526,0.001196,0.751056,0.006499,0.005176,0.001831
11,0.928772,0.000146,0.751960,0.004428,0.005176,0.001831
12,0.928762,0.000147,0.751922,0.004455,0.005176,0.001831
13,0.929096,0.000610,0.753151,0.003888,0.005176,0.001831
14,0.930339,0.001613,0.761749,0.009389,0.006681,0.002106
15,0.931368,0.002999,0.761497,0.008963,0.005173,0.001828
16,0.932545,0.002116,0.769853,0.012628,0.006678,0.002105
17,0.933741,0.001100,0.778538,0.003152,0.008280,0.000373
18,0.936412,0.000713,0.778659,0.003549,0.004656,0.000931
19,0.936214,0.000489,0.777931,0.003414,0.004656,0.000931
20,0.936284,0.000525,0.776388,0.001841,0.003983,0.000034
