round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.744542,0.176254,0.753013,0.199475,0.229328,0.323491,0.097853,0.055162
2,0.655361,0.181893,0.903265,0.096565,0.430681,0.303755,0.070512,0.035473
3,0.699371,0.301566,0.743025,0.182293,0.319684,0.445844,0.123804,0.086001
4,0.693058,0.297764,0.746671,0.179485,0.321914,0.445045,0.089472,0.062385
5,0.779943,0.173008,0.836251,0.115942,0.235705,0.285786,0.102691,0.036930
6,0.466216,0.098747,0.999827,0.000245,0.720921,0.113961,0.043869,0.026821
7,0.625245,0.202243,0.871096,0.182297,0.443053,0.313286,0.054018,0.058120
8,0.783733,0.174562,0.791535,0.162537,0.212564,0.299860,0.112329,0.053648
9,0.907653,0.008293,0.672837,0.078153,0.004093,0.005452,0.145997,0.031682
10,0.569325,0.256506,0.867777,0.186992,0.528909,0.395326,0.076260,0.042557
11,0.568693,0.255995,0.867175,0.187833,0.529364,0.395473,0.052201,0.056837
12,0.574231,0.263699,0.878669,0.171153,0.531333,0.393358,0.086828,0.102447
13,0.641836,0.183214,0.868439,0.185966,0.419038,0.296069,0.059052,0.052756
14,0.783410,0.174358,0.792289,0.163343,0.212481,0.300140,0.101456,0.054242
15,0.690123,0.295763,0.741277,0.183532,0.321185,0.445550,0.104529,0.067550
16,0.581848,0.237320,0.865684,0.189951,0.513082,0.378068,0.072011,0.051446
17,0.908098,0.006467,0.694322,0.066510,0.014531,0.010838,0.159169,0.053581
18,0.770321,0.164801,0.857899,0.100528,0.255204,0.271819,0.098549,0.043292
19,0.906930,0.006386,0.673382,0.068222,0.006591,0.008706,0.123665,0.016506
20,0.911169,0.007051,0.667015,0.078847,0.000366,0.000033,0.131370,0.026561
