round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.931118,0.003638,0.764213,0.015387,0.006445,0.000733
2,0.920521,0.012838,0.724553,0.048666,0.006393,0.000687
3,0.920065,0.013339,0.722086,0.048860,0.005947,0.000122
4,0.919800,0.012466,0.720562,0.045972,0.005790,0.001353
5,0.928783,0.000813,0.754131,0.006131,0.005922,0.001536
6,0.930519,0.002163,0.762362,0.012692,0.006732,0.001996
7,0.929962,0.001980,0.761411,0.012354,0.007019,0.002050
8,0.931843,0.001403,0.770778,0.009139,0.007941,0.001422
9,0.932217,0.002394,0.771478,0.012194,0.007717,0.001311
10,0.934768,0.001586,0.780883,0.001781,0.007735,0.001472
11,0.936942,0.000181,0.778846,0.000251,0.004063,0.000197
12,0.936730,0.000341,0.778449,0.000749,0.004089,0.000179
13,0.936696,0.000223,0.778279,0.000538,0.004106,0.000066
14,0.937892,0.002272,0.786954,0.014683,0.005692,0.002433
15,0.938486,0.002298,0.788812,0.014320,0.005651,0.002247
16,0.937928,0.001776,0.787353,0.013571,0.005812,0.002543
17,0.938345,0.001939,0.788428,0.013775,0.005664,0.002438
18,0.939913,0.001574,0.798801,0.012111,0.007396,0.002332
19,0.939796,0.002112,0.798153,0.013733,0.007330,0.002314
20,0.940949,0.000671,0.806938,0.003266,0.008938,0.000337
