round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.897557,0.034537,0.640387,0.127756,0.006478,0.000962
2,0.885779,0.034288,0.596475,0.132336,0.006219,0.002237
3,0.940731,0.000552,0.805494,0.001664,0.008839,0.000285
4,0.944708,0.001569,0.814283,0.006383,0.006570,0.000372
5,0.944759,0.001806,0.809604,0.008741,0.004787,0.000794
6,0.945149,0.002855,0.818931,0.010161,0.007596,0.001942
7,0.949231,0.002713,0.834586,0.013327,0.007986,0.001402
8,0.954533,0.001180,0.850178,0.007223,0.006506,0.001022
9,0.955932,0.000903,0.859768,0.004358,0.008159,0.000716
10,0.963780,0.000794,0.886549,0.003858,0.007375,0.001186
11,0.965218,0.000207,0.888201,0.002372,0.006043,0.001013
12,0.965106,0.000545,0.888499,0.001759,0.006282,0.000972
13,0.965857,0.000228,0.886912,0.001098,0.004694,0.000289
14,0.965586,0.000429,0.888251,0.001214,0.005524,0.000732
15,0.966232,0.000295,0.889151,0.001947,0.004955,0.000585
16,0.965951,0.000144,0.888360,0.001567,0.005075,0.000438
17,0.966071,0.000255,0.888873,0.002768,0.005110,0.000653
18,0.965958,0.000144,0.888687,0.001623,0.005158,0.000658
19,0.965952,0.000221,0.888455,0.002576,0.005111,0.000708
20,0.966155,0.000318,0.889739,0.002946,0.005309,0.000774
