round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.837942,0.049490,0.376233,0.267144,0.049573,0.066882
2,0.953525,0.014105,0.519521,0.311866,0.004303,0.003396
3,0.955505,0.036144,0.758694,0.114214,0.048506,0.068097
4,0.909827,0.056495,0.561782,0.283139,0.062359,0.071122
5,0.951538,0.014138,0.667466,0.100405,0.043477,0.055213
6,0.899394,0.051715,0.691488,0.163265,0.071337,0.067052
7,0.908321,0.043540,0.884658,0.058039,0.160329,0.223057
8,0.941404,0.060287,0.685325,0.194047,0.024546,0.027169
9,0.961915,0.016128,0.794239,0.115380,0.067987,0.093815
10,0.962470,0.007549,0.798012,0.081351,0.064230,0.087904
11,0.957696,0.044309,0.741071,0.055496,0.021953,0.028715
12,0.946798,0.018755,0.866335,0.076104,0.063006,0.070139
13,0.955876,0.033917,0.876315,0.016304,0.063828,0.082824
14,0.941596,0.061779,0.808406,0.016075,0.021779,0.026140
15,0.973050,0.003951,0.686017,0.160000,0.005292,0.002440
16,0.957187,0.036216,0.872587,0.035871,0.019870,0.022056
17,0.955198,0.042481,0.849852,0.090232,0.093061,0.125289
18,0.970751,0.019422,0.773196,0.151249,0.038155,0.047133
19,0.976627,0.015399,0.725572,0.112770,0.001516,0.000671
20,0.940407,0.049263,0.863672,0.024229,0.063209,0.083712
