round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.930559,0.003849,0.762401,0.016548,0.006643,0.000847
2,0.928099,0.001120,0.753173,0.005449,0.006498,0.000718
3,0.928424,0.001298,0.754291,0.006923,0.006542,0.000855
4,0.928268,0.001137,0.752042,0.007550,0.005964,0.001463
5,0.918892,0.012216,0.717882,0.044724,0.005890,0.001328
6,0.929691,0.002634,0.759849,0.014356,0.006760,0.001915
7,0.928972,0.003664,0.759611,0.013789,0.007696,0.001532
8,0.932220,0.002688,0.770557,0.013383,0.007433,0.001402
9,0.932493,0.001361,0.770955,0.011187,0.007151,0.002186
10,0.933548,0.000085,0.779435,0.000384,0.008798,0.000125
11,0.935493,0.001460,0.778261,0.000961,0.005720,0.002105
12,0.936595,0.000156,0.778170,0.000485,0.004095,0.000170
13,0.936749,0.000394,0.778484,0.001158,0.004177,0.000108
14,0.936991,0.000528,0.779277,0.001740,0.004116,0.000064
15,0.936747,0.000396,0.778477,0.001161,0.004177,0.000108
16,0.938670,0.002072,0.789120,0.013283,0.005605,0.002105
17,0.939988,0.002289,0.798575,0.014411,0.007161,0.002338
18,0.939532,0.002330,0.797454,0.015034,0.007339,0.002509
19,0.940033,0.001999,0.798833,0.013553,0.007326,0.002325
20,0.941858,0.000118,0.809818,0.001027,0.008837,0.000137
