round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.805506,0.130715,0.732792,0.133278,0.157306,0.219867,0.078402,0.025211
2,0.623149,0.194745,0.849191,0.213277,0.421496,0.298562,0.090517,0.019353
3,0.803292,0.141158,0.795673,0.187703,0.174621,0.246639,0.092448,0.073030
4,0.870516,0.052507,0.694106,0.167313,0.061758,0.086732,0.055992,0.019872
5,0.904158,0.000605,0.657480,0.130171,0.000078,0.000007,0.102260,0.061378
6,0.804650,0.108563,0.804220,0.159170,0.177643,0.194639,0.170449,0.091475
7,0.893810,0.022516,0.665933,0.128877,0.015878,0.021234,0.143698,0.108460
8,0.786955,0.122119,0.815433,0.176523,0.195043,0.204230,0.146891,0.082556
9,0.751718,0.206578,0.750836,0.176863,0.234901,0.298721,0.165569,0.050660
10,0.911277,0.002069,0.679332,0.127507,0.001807,0.002139,0.114217,0.043347
11,0.774874,0.172221,0.744782,0.182499,0.204100,0.256514,0.145370,0.055142
12,0.891748,0.020858,0.719251,0.124780,0.037222,0.051667,0.129721,0.081696
13,0.901227,0.009566,0.670309,0.146967,0.007001,0.009208,0.088681,0.072823
14,0.910739,0.003895,0.675290,0.131500,0.000798,0.000543,0.132813,0.072126
15,0.891469,0.016913,0.696694,0.133993,0.031724,0.021625,0.194901,0.071048
16,0.769818,0.165824,0.855858,0.120712,0.236174,0.268816,0.158019,0.088377
17,0.788024,0.126344,0.837258,0.126026,0.204173,0.220636,0.134121,0.087062
18,0.906011,0.005392,0.688931,0.127826,0.011283,0.014127,0.136925,0.062472
19,0.904555,0.007138,0.686237,0.146810,0.013506,0.017973,0.095008,0.066532
20,0.857971,0.071043,0.755206,0.135723,0.095608,0.135068,0.072496,0.036779
