round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.738668,0.106643,0.558784,0.037807,0.004314,0.003256
2,0.850804,0.055379,0.778667,0.082281,0.006246,0.002115
3,0.976315,0.013607,0.742935,0.179927,0.006809,0.002542
4,0.918920,0.038867,0.825778,0.081443,0.006044,0.004330
5,0.929263,0.037123,0.724297,0.132512,0.006187,0.002204
6,0.940257,0.023072,0.797961,0.125739,0.005257,0.003780
7,0.938584,0.059477,0.780165,0.139611,0.007430,0.002830
8,0.897208,0.036084,0.754935,0.043810,0.006830,0.002667
9,0.979336,0.011489,0.660522,0.223917,0.003446,0.000869
10,0.941753,0.055269,0.721509,0.206946,0.004618,0.002919
11,0.919287,0.026670,0.639966,0.171410,0.005146,0.003300
12,0.946328,0.026411,0.722902,0.178495,0.005201,0.001978
13,0.972115,0.010266,0.654445,0.225123,0.002555,0.000821
14,0.925668,0.050697,0.758170,0.139177,0.006270,0.004885
15,0.966467,0.021198,0.757698,0.191659,0.004638,0.001850
16,0.953516,0.031145,0.772620,0.184308,0.005930,0.003131
17,0.941350,0.024924,0.725720,0.181012,0.003303,0.003397
18,0.924060,0.048358,0.862368,0.090783,0.005266,0.002082
19,0.932749,0.044567,0.835025,0.111427,0.005950,0.001799
20,0.957676,0.019123,0.630445,0.163085,0.002561,0.001347
