round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.797570,0.098569,0.261276,0.369500,0.001954,0.002764
2,0.883501,0.035124,0.588096,0.133741,0.006150,0.001909
3,0.933463,0.000325,0.777821,0.001288,0.008354,0.000262
4,0.936914,0.002555,0.786388,0.011431,0.006893,0.002222
5,0.941046,0.003634,0.796680,0.015395,0.004960,0.000820
6,0.940945,0.002963,0.797761,0.013339,0.005510,0.002125
7,0.941352,0.000380,0.807405,0.000933,0.008633,0.000280
8,0.944559,0.002605,0.816733,0.012025,0.007723,0.001593
9,0.949013,0.003895,0.830866,0.016624,0.006843,0.001325
10,0.951190,0.001653,0.842082,0.006510,0.008060,0.001542
11,0.954484,0.000748,0.852814,0.001548,0.007557,0.000445
12,0.957063,0.001673,0.863095,0.008611,0.007781,0.001309
13,0.963175,0.000837,0.885045,0.002594,0.007586,0.001071
14,0.964571,0.000397,0.889392,0.000642,0.007347,0.000786
15,0.965182,0.000309,0.888769,0.000960,0.006277,0.000757
16,0.965766,0.000751,0.889636,0.000847,0.005760,0.001351
17,0.965843,0.000481,0.888511,0.000055,0.005266,0.000675
18,0.965792,0.000593,0.888090,0.001982,0.005164,0.000721
19,0.965967,0.000450,0.888043,0.003229,0.004908,0.000671
20,0.966261,0.000183,0.888341,0.002169,0.004631,0.000693
