round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.893258,0.041320,0.874774,0.060274,0.001553,0.001116
2,0.960138,0.029468,0.883588,0.085431,0.006050,0.001770
3,0.914448,0.022935,0.793348,0.050346,0.006564,0.001625
4,0.970945,0.014709,0.825929,0.128307,0.004854,0.001268
5,0.962354,0.015858,0.774849,0.108134,0.005102,0.000658
6,0.948718,0.034124,0.847802,0.111635,0.004332,0.003442
7,0.973959,0.022876,0.907926,0.063003,0.004713,0.001270
8,0.905014,0.103151,0.831544,0.098500,0.007936,0.003601
9,0.936040,0.006618,0.851944,0.066167,0.003640,0.002605
10,0.964783,0.010786,0.751733,0.142923,0.004478,0.001658
11,0.958943,0.039820,0.859909,0.087610,0.005940,0.002337
12,0.969483,0.013855,0.760447,0.114565,0.002960,0.000661
13,0.940765,0.025937,0.770068,0.115241,0.006420,0.004844
14,0.957921,0.018996,0.838546,0.147061,0.002569,0.002582
15,0.966522,0.024734,0.795043,0.154683,0.005014,0.002769
16,0.957402,0.020003,0.869668,0.070423,0.004887,0.000702
17,0.961491,0.024482,0.813993,0.130162,0.005302,0.002136
18,0.961281,0.026042,0.890541,0.077367,0.003775,0.002675
19,0.892816,0.043982,0.833630,0.019651,0.010414,0.004200
20,0.967329,0.022107,0.874539,0.078088,0.005308,0.001962
