round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.726868,0.128183,0.524662,0.353386,0.187804,0.265525,0.100874,0.010471
2,0.726415,0.143775,0.571406,0.317105,0.204719,0.289426,0.099335,0.010643
3,0.832530,0.040439,0.605113,0.189708,0.075721,0.106677,0.094641,0.009467
4,0.852895,0.038066,0.603309,0.177645,0.037130,0.052284,0.093616,0.009227
5,0.871357,0.042693,0.586794,0.133932,0.001516,0.001985,0.093075,0.009416
6,0.869431,0.036025,0.607714,0.150819,0.015767,0.022131,0.093442,0.009547
7,0.891496,0.018696,0.613928,0.108290,0.000638,0.000429,0.093028,0.008984
8,0.885929,0.027149,0.611673,0.120949,0.002277,0.002604,0.092673,0.009183
9,0.894949,0.016720,0.623082,0.109141,0.001985,0.001967,0.092972,0.008766
10,0.890322,0.023936,0.614783,0.114872,0.000468,0.000425,0.092892,0.008790
11,0.896917,0.014898,0.622925,0.103846,0.000586,0.000417,0.093037,0.008317
12,0.893125,0.019449,0.618138,0.111855,0.000539,0.000594,0.092783,0.008592
13,0.894431,0.019072,0.620935,0.109442,0.000576,0.000352,0.092404,0.008474
14,0.895702,0.017022,0.621839,0.106687,0.000504,0.000326,0.092281,0.008307
15,0.893010,0.021089,0.618976,0.113183,0.000416,0.000415,0.092470,0.008404
16,0.887298,0.027062,0.611240,0.116233,0.000174,0.000080,0.092734,0.007917
17,0.893764,0.018634,0.617184,0.110405,0.000129,0.000034,0.092826,0.008012
18,0.891305,0.024490,0.615590,0.115674,0.000151,0.000027,0.092763,0.008094
19,0.906004,0.002351,0.630680,0.094939,0.000281,0.000237,0.092948,0.007736
20,0.894333,0.016881,0.615870,0.110473,0.000136,0.000083,0.092614,0.007707
