round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.956884,0.028863,0.716591,0.176839,0.004796,0.001074
2,0.946921,0.038072,0.854566,0.106275,0.004237,0.003186
3,0.888628,0.017534,0.766840,0.029170,0.006986,0.002351
4,0.979807,0.001900,0.821056,0.125376,0.004173,0.000305
5,0.979617,0.010492,0.847831,0.118078,0.005129,0.001825
6,0.871031,0.045480,0.853527,0.059749,0.006524,0.007813
7,0.969742,0.019292,0.827042,0.149978,0.005354,0.002042
8,0.963448,0.016480,0.793190,0.159171,0.004872,0.001421
9,0.973246,0.004896,0.786253,0.158263,0.004921,0.001481
10,0.956326,0.033263,0.893155,0.075491,0.005768,0.002703
11,0.917229,0.025336,0.850896,0.030189,0.009041,0.003873
12,0.967800,0.018179,0.907731,0.070632,0.002522,0.002228
13,0.953673,0.025802,0.783040,0.093811,0.004394,0.002396
14,0.946832,0.040108,0.861247,0.083960,0.006916,0.003766
15,0.989071,0.006757,0.800962,0.164295,0.000988,0.001177
16,0.979501,0.008509,0.803584,0.148254,0.003578,0.000188
17,0.972583,0.021743,0.822284,0.136788,0.004053,0.002130
18,0.959377,0.018171,0.761035,0.104718,0.003491,0.000353
19,0.955986,0.011791,0.794598,0.106882,0.005531,0.002644
20,0.957120,0.027434,0.917260,0.064311,0.006248,0.001806
