round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.926070,0.065135,0.771021,0.054582,0.017718,0.018441
2,0.970770,0.009351,0.783326,0.066006,0.007515,0.004530
3,0.950353,0.029767,0.803788,0.080409,0.014115,0.013161
4,0.965780,0.012688,0.816460,0.075097,0.005800,0.002732
5,0.866871,0.068822,0.847625,0.058464,0.021225,0.027034
6,0.973716,0.001076,0.820765,0.082255,0.007788,0.005840
7,0.931663,0.044748,0.787517,0.049190,0.005005,0.002319
8,0.955427,0.020753,0.886069,0.021263,0.004121,0.002986
9,0.963569,0.022570,0.830658,0.053577,0.005652,0.004245
10,0.953165,0.021186,0.814844,0.061195,0.011698,0.010784
11,0.975314,0.001895,0.721145,0.104533,0.007591,0.009042
12,0.941095,0.008296,0.863249,0.049367,0.011676,0.011522
13,0.972655,0.006662,0.815501,0.106603,0.002349,0.000743
14,0.947697,0.012541,0.869879,0.056936,0.008886,0.008130
15,0.948475,0.052562,0.865381,0.081864,0.008843,0.007148
16,0.964148,0.018389,0.784629,0.053520,0.003361,0.003694
17,0.986874,0.003785,0.837545,0.077519,0.005289,0.005810
18,0.986302,0.006674,0.837502,0.071601,0.002546,0.002630
19,0.941183,0.005963,0.903025,0.038506,0.004532,0.003419
20,0.944716,0.028409,0.835421,0.081565,0.015488,0.020296
