round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.910462,0.001969,0.702110,0.056704,0.000992,0.000577,0.180601,0.047409
2,0.911852,0.001954,0.708155,0.051334,0.003021,0.003287,0.178777,0.047814
3,0.913248,0.001620,0.706580,0.053070,0.000411,0.000235,0.178729,0.047685
4,0.913335,0.001470,0.706861,0.053471,0.000539,0.000493,0.178733,0.047640
5,0.912547,0.001432,0.707513,0.052686,0.002035,0.002052,0.178280,0.047131
6,0.911792,0.002335,0.707514,0.052670,0.002734,0.003149,0.178548,0.047403
7,0.912601,0.001710,0.708621,0.051940,0.002501,0.002812,0.179478,0.047957
8,0.912000,0.002308,0.708009,0.052510,0.002910,0.003433,0.179259,0.047690
9,0.913502,0.000872,0.707959,0.053080,0.001173,0.000940,0.179066,0.047685
10,0.912434,0.002150,0.710186,0.050530,0.003475,0.004344,0.179627,0.046952
11,0.914036,0.001382,0.708891,0.051756,0.000609,0.000398,0.179379,0.047448
12,0.912173,0.002441,0.711435,0.048778,0.003595,0.004579,0.179963,0.047933
13,0.912440,0.002787,0.713770,0.047368,0.004223,0.005305,0.179037,0.047884
14,0.911934,0.002814,0.715601,0.044040,0.004152,0.005371,0.178507,0.047085
15,0.912500,0.002464,0.711517,0.049615,0.003085,0.003780,0.181980,0.050630
16,0.913545,0.001150,0.708840,0.052622,0.001147,0.001055,0.178877,0.045947
17,0.914350,0.000598,0.708730,0.053289,0.000295,0.000158,0.180924,0.049904
18,0.912870,0.002169,0.710102,0.051523,0.002585,0.003131,0.178160,0.046327
19,0.913107,0.001751,0.712189,0.048712,0.002827,0.003585,0.183040,0.045129
20,0.913640,0.001217,0.709055,0.052710,0.001662,0.001945,0.179072,0.046370
