round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.894834,0.034626,0.630480,0.128138,0.006406,0.000524
2,0.893265,0.032842,0.625877,0.126360,0.006839,0.002150
3,0.940114,0.000353,0.803357,0.001389,0.008868,0.000241
4,0.944361,0.000930,0.811814,0.003762,0.006164,0.000104
5,0.944804,0.001383,0.809548,0.006954,0.004679,0.000705
6,0.944475,0.002396,0.815994,0.010836,0.007476,0.002383
7,0.948792,0.003755,0.831998,0.018163,0.007645,0.001872
8,0.953761,0.001859,0.848309,0.011820,0.006822,0.001817
9,0.956377,0.000931,0.860643,0.004943,0.007890,0.000702
10,0.963778,0.000777,0.886578,0.003814,0.007379,0.001105
11,0.965181,0.000516,0.887892,0.002453,0.005922,0.001026
12,0.965115,0.000656,0.887977,0.002977,0.006083,0.000710
13,0.965562,0.000245,0.886086,0.000589,0.004773,0.000143
14,0.965712,0.000292,0.887800,0.000781,0.005185,0.000531
15,0.966076,0.000124,0.888125,0.001478,0.004802,0.000377
16,0.965688,0.000152,0.887177,0.001216,0.004962,0.000629
17,0.965982,0.000395,0.889128,0.002545,0.005308,0.000631
18,0.966221,0.000310,0.889877,0.002877,0.005295,0.000794
19,0.966003,0.000061,0.888836,0.002022,0.005202,0.000876
20,0.966189,0.000324,0.889332,0.002339,0.005093,0.000631
