round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.871946,0.028083,0.576128,0.096262,0.000445,0.000580,0.088439,0.007681
2,0.894268,0.012366,0.611381,0.082960,0.001150,0.000814,0.089426,0.009583
3,0.904196,0.008672,0.623450,0.071713,0.000772,0.000563,0.088926,0.008705
4,0.904136,0.008186,0.624535,0.073316,0.001008,0.000773,0.089881,0.008551
5,0.904884,0.005823,0.627365,0.078002,0.000954,0.000862,0.090259,0.007837
6,0.906257,0.006175,0.629729,0.077644,0.001097,0.000943,0.091471,0.007912
7,0.904579,0.007592,0.625634,0.075172,0.000855,0.000665,0.091359,0.007664
8,0.905825,0.007288,0.627792,0.074867,0.000835,0.000665,0.091913,0.007491
9,0.906080,0.007718,0.627168,0.074160,0.000559,0.000396,0.093932,0.008034
10,0.908125,0.004739,0.633740,0.081187,0.000641,0.000470,0.093538,0.007646
11,0.908956,0.004435,0.634592,0.081082,0.000624,0.000463,0.093072,0.005952
12,0.909442,0.004413,0.635247,0.081732,0.000301,0.000170,0.095168,0.005773
13,0.908410,0.005455,0.632168,0.079332,0.000177,0.000114,0.097015,0.006716
14,0.907071,0.007023,0.629036,0.075344,0.000165,0.000112,0.094908,0.005285
15,0.909561,0.003976,0.635363,0.081917,0.000181,0.000097,0.094399,0.006258
16,0.907556,0.006982,0.630022,0.075778,0.000177,0.000123,0.096965,0.004366
17,0.907984,0.006353,0.631173,0.077337,0.000198,0.000150,0.094675,0.004711
18,0.908388,0.006394,0.631557,0.078073,0.000104,0.000072,0.097106,0.003845
19,0.908120,0.006486,0.631402,0.077073,0.000133,0.000099,0.100223,0.000583
20,0.909260,0.005474,0.633568,0.079858,0.000121,0.000072,0.097635,0.004390
