round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.927180,0.023372,0.679792,0.319312,0.004191,0.005416
2,0.826590,0.114712,0.762803,0.118572,0.011144,0.011904
3,0.971510,0.003346,0.671029,0.144485,0.005353,0.006609
4,0.946539,0.025298,0.803271,0.139902,0.007829,0.005636
5,0.968207,0.012823,0.813023,0.112793,0.004614,0.003348
6,0.928462,0.020699,0.774735,0.088616,0.020222,0.023082
7,0.943751,0.017761,0.782122,0.096504,0.012428,0.011727
8,0.947230,0.021969,0.898112,0.033399,0.008505,0.006500
9,0.952842,0.018131,0.881602,0.065478,0.005943,0.001562
10,0.935008,0.014272,0.825510,0.056113,0.009663,0.008343
11,0.968425,0.015721,0.785195,0.076223,0.004944,0.003267
12,0.965515,0.005520,0.812880,0.068325,0.008563,0.007583
13,0.948386,0.020545,0.898525,0.015054,0.006743,0.000940
14,0.955841,0.023899,0.845932,0.079970,0.005552,0.003217
15,0.957273,0.023650,0.924188,0.029812,0.003712,0.002679
16,0.970265,0.018664,0.776543,0.004385,0.005259,0.003494
17,0.963095,0.011229,0.884572,0.073149,0.003235,0.002540
18,0.969489,0.009179,0.907343,0.012822,0.004633,0.003288
19,0.924828,0.032989,0.884734,0.025257,0.007857,0.005716
20,0.963107,0.024093,0.760889,0.002169,0.009359,0.007997
