round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.959368,0.015015,0.824956,0.051354,0.006113,0.004800
2,0.960679,0.007539,0.738580,0.008085,0.010649,0.010087
3,0.913363,0.058758,0.782824,0.061892,0.016907,0.017722
4,0.976224,0.007380,0.810724,0.073492,0.008514,0.006903
5,0.979673,0.006258,0.764503,0.019749,0.008957,0.007628
6,0.959228,0.026681,0.845127,0.068615,0.021235,0.024953
7,0.968238,0.014592,0.855894,0.047941,0.006599,0.004343
8,0.978449,0.004610,0.823722,0.085676,0.008242,0.007044
9,0.964934,0.009389,0.885587,0.066474,0.004914,0.003087
10,0.979791,0.012180,0.720042,0.098264,0.003104,0.003495
11,0.959512,0.016475,0.910993,0.016147,0.005374,0.003736
12,0.933013,0.037746,0.910586,0.031163,0.009677,0.007772
13,0.979800,0.006544,0.813979,0.111289,0.003698,0.003840
14,0.952591,0.032657,0.844921,0.066326,0.004160,0.002550
15,0.955719,0.037942,0.856626,0.047388,0.004550,0.003118
16,0.959226,0.021336,0.828937,0.062624,0.009722,0.012202
17,0.948833,0.028912,0.832252,0.068613,0.002721,0.001443
18,0.947791,0.045494,0.911292,0.019764,0.005762,0.004888
19,0.979909,0.012942,0.809366,0.051346,0.006527,0.007974
20,0.972370,0.014415,0.863822,0.091267,0.005322,0.005432
