round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.928058,0.000486,0.750904,0.002119,0.005763,0.000181
2,0.928932,0.000190,0.754118,0.000710,0.005763,0.000181
3,0.928932,0.000190,0.754118,0.000710,0.005763,0.000181
4,0.928794,0.000082,0.753610,0.000347,0.005763,0.000181
5,0.927832,0.000782,0.751664,0.003128,0.006356,0.000993
6,0.927672,0.000479,0.749486,0.001976,0.005763,0.000181
7,0.927827,0.000546,0.750055,0.002032,0.005763,0.000181
8,0.927827,0.000546,0.750055,0.002032,0.005763,0.000181
9,0.927851,0.000564,0.748543,0.002527,0.005164,0.001012
10,0.927843,0.000576,0.746948,0.003940,0.004580,0.000992
11,0.928089,0.000618,0.747852,0.003935,0.004580,0.000992
12,0.927545,0.000848,0.751525,0.001970,0.006699,0.001900
13,0.927616,0.000811,0.749982,0.002364,0.006026,0.001761
14,0.930282,0.001669,0.758141,0.011817,0.005412,0.002217
15,0.931313,0.003049,0.757903,0.011395,0.003907,0.000124
16,0.930298,0.001670,0.758200,0.011808,0.005412,0.002217
17,0.931665,0.002088,0.768904,0.010964,0.007533,0.001271
18,0.934390,0.000889,0.777572,0.002802,0.007028,0.002126
19,0.935259,0.001415,0.776684,0.002070,0.005502,0.002292
20,0.935259,0.001415,0.776684,0.002070,0.005502,0.002292
