round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.947967,0.042350,0.677168,0.184186,0.022628,0.025848
2,0.946857,0.048695,0.871639,0.024713,0.065427,0.085857
3,0.981953,0.009087,0.722665,0.135119,0.039380,0.045998
4,0.978947,0.013005,0.725032,0.155489,0.002878,0.002101
5,0.951756,0.046500,0.858066,0.105791,0.144400,0.184281
6,0.967731,0.026217,0.884763,0.031340,0.023240,0.026904
7,0.980733,0.005810,0.757126,0.166179,0.006782,0.001705
8,0.957680,0.025726,0.781034,0.155248,0.022053,0.029824
9,0.947121,0.034495,0.824380,0.166633,0.089108,0.124869
10,0.967217,0.014363,0.783823,0.163374,0.115760,0.160606
11,0.982533,0.007380,0.772514,0.136275,0.042140,0.056262
12,0.958525,0.040838,0.832352,0.069870,0.055942,0.060767
13,0.962027,0.025922,0.832226,0.177826,0.140467,0.192140
14,0.969161,0.029855,0.828030,0.073724,0.016854,0.021037
15,0.981108,0.011259,0.770046,0.029802,0.002268,0.001163
16,0.938234,0.036571,0.870738,0.082699,0.056373,0.064178
17,0.963415,0.030440,0.860509,0.036627,0.008887,0.008086
18,0.980567,0.004356,0.839833,0.063624,0.005146,0.002966
19,0.951680,0.032380,0.848563,0.076019,0.042415,0.055524
20,0.978933,0.015456,0.871185,0.086833,0.035623,0.026639
