round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.490166,0.235609,0.880323,0.164584,0.603214,0.432557,0.075403,0.039229
2,0.516590,0.243704,0.824364,0.248387,0.527369,0.372902,0.080741,0.020865
3,0.549592,0.234725,0.802685,0.238134,0.463261,0.335107,0.087100,0.025830
4,0.785383,0.052718,0.817952,0.073646,0.206796,0.146069,0.060360,0.030620
5,0.668403,0.280565,0.721290,0.213315,0.279414,0.356433,0.097683,0.078086
6,0.764147,0.167156,0.785173,0.154195,0.210047,0.294082,0.065418,0.030653
7,0.785573,0.115392,0.651359,0.186329,0.121693,0.171597,0.057367,0.033006
8,0.409676,0.114750,0.998106,0.002659,0.736417,0.119861,0.089827,0.073843
9,0.570994,0.235805,0.900269,0.137653,0.497069,0.294855,0.110774,0.098430
10,0.586558,0.188378,0.950197,0.070419,0.526631,0.309993,0.060725,0.035703
11,0.584917,0.241537,0.902447,0.130498,0.479665,0.282933,0.115154,0.097600
12,0.734519,0.169900,0.819913,0.127916,0.280912,0.312857,0.048933,0.022729
13,0.850248,0.012584,0.552668,0.119046,0.000138,0.000098,0.027480,0.015799
14,0.433281,0.167496,0.980663,0.027326,0.699250,0.189177,0.089676,0.046312
15,0.560009,0.236691,0.936187,0.085728,0.509809,0.261658,0.119603,0.071121
16,0.608897,0.253676,0.832669,0.208048,0.408128,0.320333,0.037615,0.040682
17,0.694008,0.271526,0.793377,0.146924,0.301223,0.314322,0.104923,0.104078
18,0.523890,0.277527,0.885091,0.162506,0.533100,0.371707,0.027724,0.022645
19,0.770582,0.120923,0.798191,0.134925,0.224277,0.226842,0.064098,0.022639
20,0.849692,0.038121,0.549421,0.154126,0.000185,0.000138,0.034179,0.016492
