round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.806260,0.070794,0.557968,0.116581,0.008965,0.011762
2,0.943764,0.010114,0.675428,0.068611,0.000857,0.000417
3,0.872136,0.054633,0.748142,0.031209,0.011504,0.012611
4,0.959168,0.027269,0.789800,0.137639,0.004269,0.005460
5,0.938849,0.038677,0.739485,0.163385,0.006673,0.006841
6,0.925186,0.032381,0.733757,0.132390,0.002527,0.001728
7,0.971468,0.003956,0.816411,0.104888,0.005841,0.007108
8,0.986595,0.008124,0.782359,0.145653,0.010366,0.012130
9,0.973629,0.003584,0.759943,0.121643,0.004435,0.004525
10,0.981588,0.006282,0.774227,0.113066,0.001954,0.001062
11,0.966251,0.013801,0.738180,0.121516,0.001982,0.000958
12,0.928651,0.042750,0.826498,0.098080,0.003220,0.000731
13,0.963545,0.004033,0.760391,0.112601,0.006867,0.007020
14,0.968455,0.013560,0.791100,0.120125,0.006988,0.006166
15,0.974263,0.003765,0.786601,0.139241,0.006411,0.007368
16,0.948533,0.017078,0.840573,0.057190,0.008728,0.006282
17,0.958543,0.024720,0.765410,0.114771,0.018381,0.023417
18,0.957879,0.008705,0.763959,0.126340,0.003031,0.001761
19,0.958832,0.017964,0.789969,0.097266,0.002638,0.000920
20,0.978695,0.008558,0.777792,0.148817,0.002494,0.001138
