round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.893557,0.011960,0.716706,0.035784,0.040376,0.029387,0.290533,0.002535
2,0.911872,0.000740,0.684541,0.003076,0.003202,0.002036,0.272424,0.002150
3,0.912750,0.000949,0.686608,0.002676,0.002769,0.002168,0.266423,0.002211
4,0.913760,0.000530,0.686473,0.001013,0.001331,0.000545,0.263930,0.001919
5,0.913725,0.000012,0.686842,0.001873,0.001518,0.000717,0.262370,0.001753
6,0.913772,0.000435,0.690860,0.005524,0.002953,0.002663,0.261349,0.001640
7,0.914469,0.000287,0.688841,0.000634,0.001242,0.000511,0.260593,0.001474
8,0.914470,0.000314,0.689642,0.001205,0.001540,0.000763,0.260074,0.001396
9,0.914518,0.000265,0.689314,0.001089,0.001351,0.000661,0.259524,0.001302
10,0.914646,0.000555,0.690408,0.001390,0.001583,0.000711,0.259123,0.001177
11,0.914702,0.000513,0.690142,0.001451,0.001408,0.000534,0.258838,0.001085
12,0.914592,0.000343,0.689683,0.001113,0.001387,0.000689,0.258569,0.001082
13,0.914605,0.000457,0.689925,0.001144,0.001460,0.000703,0.258374,0.001027
14,0.914628,0.000288,0.689756,0.001195,0.001366,0.000698,0.258147,0.000983
15,0.914682,0.000381,0.690104,0.000810,0.001421,0.000698,0.257985,0.000904
16,0.914698,0.000339,0.689452,0.000763,0.001155,0.000522,0.257819,0.000881
17,0.914749,0.000392,0.690090,0.000711,0.001324,0.000634,0.257689,0.000914
18,0.914755,0.000378,0.690525,0.001020,0.001478,0.000727,0.257551,0.000881
19,0.914888,0.000263,0.689966,0.000618,0.001087,0.000435,0.257502,0.000814
20,0.914643,0.000214,0.689928,0.001564,0.001409,0.000770,0.257411,0.000807
