round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.970119,0.010976,0.754941,0.104668,0.003119,0.001154
2,0.974092,0.011654,0.758075,0.113407,0.002498,0.001660
3,0.955675,0.015257,0.776342,0.121628,0.002819,0.001650
4,0.931693,0.016595,0.807533,0.101243,0.003223,0.001035
5,0.977936,0.014075,0.771886,0.124274,0.014336,0.018032
6,0.984702,0.010029,0.782173,0.142105,0.005401,0.005900
7,0.967243,0.012904,0.795005,0.146853,0.002591,0.001494
8,0.973267,0.015984,0.861782,0.083688,0.007096,0.004957
9,0.972229,0.009646,0.815792,0.123726,0.004622,0.002179
10,0.982450,0.003290,0.790640,0.136704,0.005891,0.003665
11,0.972968,0.005665,0.840057,0.085631,0.003967,0.001401
12,0.953576,0.041064,0.909839,0.043210,0.008464,0.002693
13,0.967877,0.016781,0.930048,0.055631,0.010357,0.004819
14,0.973568,0.006058,0.857140,0.071397,0.009321,0.010373
15,0.978127,0.002197,0.844923,0.091653,0.005732,0.005629
16,0.968016,0.028184,0.873595,0.106101,0.006456,0.004111
17,0.962736,0.016612,0.877937,0.068103,0.003339,0.000944
18,0.969890,0.014747,0.846391,0.067281,0.003041,0.000858
19,0.975323,0.006866,0.873231,0.045532,0.007734,0.006636
20,0.956417,0.022380,0.895523,0.051135,0.004279,0.000918
