round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,train_loss_mean,train_loss_std
1,0.816465,0.057131,0.333036,0.184165,0.000047,0.000030,0.091810,0.027978
2,0.679676,0.286564,0.708848,0.205946,0.307862,0.434541,0.097441,0.032922
3,0.890898,0.015624,0.638097,0.061281,0.025464,0.027144,0.088384,0.016023
4,0.718225,0.169097,0.669433,0.300986,0.251338,0.308315,0.095056,0.026614
5,0.855201,0.053437,0.527067,0.154388,0.000088,0.000045,0.068754,0.029632
6,0.704378,0.186677,0.660183,0.283083,0.213126,0.298938,0.092379,0.043460
7,0.747776,0.198795,0.755374,0.176402,0.226376,0.320038,0.064714,0.013476
8,0.678009,0.283869,0.774908,0.200889,0.318431,0.386197,0.118245,0.079390
9,0.893103,0.026030,0.622192,0.116827,0.001963,0.001147,0.155358,0.050002
10,0.610609,0.196923,0.818449,0.253708,0.420920,0.310638,0.161268,0.091197
11,0.567055,0.158195,0.783824,0.305720,0.448468,0.317457,0.099386,0.015155
12,0.674945,0.265695,0.719301,0.239810,0.277718,0.392502,0.060373,0.043000
13,0.634380,0.197634,0.892691,0.142740,0.397650,0.291228,0.109374,0.123845
14,0.733784,0.184674,0.683161,0.242752,0.230582,0.325715,0.132070,0.070897
15,0.871223,0.040702,0.616964,0.155659,0.017764,0.024586,0.123774,0.054452
16,0.752660,0.166697,0.741685,0.211145,0.237741,0.285456,0.089588,0.024075
17,0.784540,0.178240,0.794830,0.148105,0.197724,0.278790,0.102529,0.028546
18,0.548511,0.255474,0.916398,0.118231,0.516480,0.365262,0.094658,0.030701
19,0.885658,0.011370,0.594647,0.102487,0.001243,0.001588,0.088565,0.012675
20,0.736457,0.231654,0.743993,0.194212,0.233868,0.327319,0.086910,0.033810
