round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.897678,0.031533,0.641183,0.115347,0.006449,0.000676
2,0.933046,0.000659,0.777547,0.001630,0.008808,0.000298
3,0.942781,0.002572,0.811813,0.006766,0.008282,0.001024
4,0.942935,0.003162,0.807892,0.010611,0.006689,0.000429
5,0.943265,0.001065,0.807219,0.001287,0.005852,0.002003
6,0.954352,0.000616,0.855745,0.001652,0.008761,0.000254
7,0.957011,0.000739,0.861733,0.002926,0.007391,0.000716
8,0.964896,0.000292,0.887613,0.000641,0.006260,0.000406
9,0.965816,0.000659,0.887531,0.000646,0.004936,0.000767
10,0.965334,0.000420,0.887445,0.001460,0.005572,0.000413
11,0.965811,0.000443,0.887886,0.000757,0.005070,0.000860
12,0.965758,0.000329,0.887268,0.001774,0.004923,0.000734
13,0.966175,0.000636,0.889036,0.000021,0.005050,0.000868
14,0.966239,0.000295,0.889678,0.001425,0.005175,0.000668
15,0.966310,0.000495,0.889568,0.000870,0.004962,0.000974
16,0.966259,0.000306,0.889786,0.001414,0.005149,0.000824
17,0.966109,0.000671,0.889422,0.000380,0.005260,0.000807
18,0.966556,0.000759,0.891777,0.001788,0.005496,0.000862
19,0.967313,0.000280,0.895024,0.001508,0.005655,0.000685
20,0.967129,0.000289,0.894075,0.001973,0.005612,0.000956
