Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.7400
Accuracy: 0.9661658116
Detection Rate: 0.8875505335
False Positive Rate: 0.0044657087

--- Per-Round Attention Weights ---
  Client 9: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 10: DR=0.9172, FPR=0.0647, Score=0.8579
  Client 11: DR=0.9172, FPR=0.0647, Score=0.8579
Round 7: α = [0.08332759279517869, 0.08332759279517869, 0.08334169524694832, 0.08332596699418617, 0.08334169524694832, 0.08332759279517869, 0.08332759279517869, 0.08334169524694832, 0.08332759279517869, 0.08334169524694832, 0.08332759279517869, 0.08334169524694832]
  Client 0: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 1: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 2: DR=0.9172, FPR=0.0636, Score=0.8589
  Client 3: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 4: DR=0.9172, FPR=0.0636, Score=0.8589
  Client 5: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 6: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 7: DR=0.9172, FPR=0.0636, Score=0.8589
  Client 8: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 9: DR=0.9172, FPR=0.0636, Score=0.8589
  Client 10: DR=0.9170, FPR=0.0636, Score=0.8588
  Client 11: DR=0.9172, FPR=0.0636, Score=0.8589
Round 8: α = [0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]
  Client 0: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 1: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 2: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 3: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 4: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 5: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 6: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 7: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 8: DR=0.9170, FPR=0.0636, Score=0.8587
  Client 9: DR=0.9170, FPR=0.0636, Score=0.8587
