round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.895766563966227,0.8245643839477791,0.00011385826361227923,0.04323054960198203
2,0.4222987625254169,1.0,0.7017848767973237,0.03331464561290609
3,0.8116188555753947,0.9206099890576115,0.15864689003043014,0.05326616513571077
4,0.4876337030173652,1.0,0.6193004998194429,0.01867044573750934
5,0.6206861590974377,0.9921818800929973,0.446777738710876,0.025787466733485385
6,0.9068176569655118,0.8492677187936781,0.00014748167885449557,0.0110150774000418
7,0.9060995048975156,0.8486685718719933,0.00012951773746753214,0.016841929748892957
8,0.9125656897921021,0.8582159991264635,0.0009567375134722784,0.04838350078208467
9,0.9053926179599976,0.8467343010514335,8.247568136698947e-05,0.02484791923824305
10,0.9117067235931261,0.8560704899044348,0.00044405363479722143,0.08105473269618041
11,0.27198812655247584,1.0,0.8791470747099509,0.08073880064780432
12,0.9094931254541255,0.8535944890225006,0.00018009811975148646,0.0881162440384069
13,0.9130134787286173,0.8583781334846163,0.00044096532887517815,0.04515670593762175
14,0.7115563341012398,0.8670072418034448,0.24819764999203753,0.060187016367444945
15,0.27953576397298624,1.0,0.8705457903320988,0.14459733200478553
16,0.8588310174102591,0.9016492465521497,0.09011032039754574,0.10392187966923391
17,0.2729935394476707,1.0,0.8779992066368476,0.012048205443159703
18,0.9072485482063095,0.8751359940959202,0.016268831843413423,0.07862107481025674
19,0.9125572409442433,0.8569952126731045,0.00020115036706049318,0.038200743336527065
20,0.9129627856414646,0.8577967645126973,0.000439321433456771,0.06952526416373098
