round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8945955840937254,0.5416515283627494,6.2352856906189285e-06,0.08848411328243062
2,0.9040441590627464,0.5685601646419703,9.069579775547191e-05,0.052691908341911994
3,0.912546468401487,0.6097857089989913,0.004432906614083179,0.17704053937452532
4,0.8625521009350006,0.6933524169108021,0.09464471911642297,0.16515380760354662
5,0.8997887799932409,0.5584306533437167,1.5310928702252102e-05,0.043699003030527206
6,0.9125098569336487,0.6035303822300875,0.0021374179067132374,0.16156116569781295
7,0.9023572152754309,0.5658972613015278,5.035058301155496e-05,0.07619036233000076
8,0.6120902331868874,0.9891717179229981,0.5118354391017544,0.21697463601204636
9,0.8716599076264504,0.7199447240483614,0.09382947101520214,0.1648680765152958
10,0.9139574180466374,0.6089430148741809,0.0018060175269991484,0.1636323338663469
11,0.856536555142503,0.7474549590245982,0.12066182615378158,0.10725411532795642
12,0.9079925650557622,0.5829971371966338,9.759321303343951e-05,0.08058640699480094
13,0.6181790019150614,0.9769785007548517,0.5014660446857773,0.14621724598370864
14,0.9131604145544666,0.6036785644599989,0.001375718035628269,0.17852078458062054
15,0.9133462881604144,0.603331907791524,0.001008498309098611,0.13551166375660129
16,0.7959530246704967,0.8120227328124562,0.2244775573646197,0.11610054426109181
17,0.9135011828320379,0.605327383352729,0.0013920401849398952,0.20744613308847332
18,0.686909992114453,0.9157023271556514,0.39685745897409136,0.17555101654144212
19,0.5371521910555368,1.0,0.6129697707608976,0.07841665672544738
20,0.9026501070181369,0.5679557623825519,5.6442967313436774e-05,0.048518854422630514
