round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8753520412761355,0.7768540229149221,0.08785233577688437,0.27395418686616835
2,0.913195070295602,0.6901839393948168,0.0034931615519450494,0.2621895797993342
3,0.9138259282624369,0.6909707501089213,0.002920623232076429,0.25978849843900986
4,0.9141385409156453,0.6899768328672476,0.002119899067563281,0.25872001080603724
5,0.9142089491708724,0.6911675983554408,0.002468046839081633,0.25783658119035374
6,0.9138090302811823,0.6904740438059398,0.002758170884885953,0.2573205182007272
7,0.914597602739726,0.6917680908309964,0.0021585725226490374,0.25720092395147465
8,0.9146539293439078,0.691830145153004,0.002104419934507492,0.256840444684344
9,0.9149890726387888,0.6909604530097402,0.001319126147942701,0.256604444016078
10,0.9149496440158615,0.6916542792861624,0.0016324986881185797,0.2568569079243508
11,0.915132705479452,0.691012365505093,0.00114116758152564,0.25669536596301257
12,0.9149947052992069,0.6919026906648507,0.001663391947420247,0.2566816422456673
13,0.9151693177721701,0.6915921473278918,0.0013075127352252397,0.25637660894355174
14,0.9151918484138428,0.6915611783940854,0.0012649464736303596,0.2562867196737745
15,0.915065113554434,0.690939781175115,0.001206933582384646,0.2560705128328965
16,0.9150116032804614,0.6916334521790108,0.001539553465739776,0.25610117508660335
17,0.9150172359408796,0.6917059200545942,0.0015589579087096441,0.25595009806877334
18,0.9152031137346792,0.6913021593711635,0.0011527484908381456,0.2558998637679943
19,0.9150482155731795,0.6916542792861624,0.0014970467937206475,0.25583513344439296
20,0.9153073179524153,0.6914471339404618,0.0010637664990125356,0.25563891634043145
