Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 16
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.7000
Accuracy: 0.9663190196
Detection Rate: 0.8882381205
False Positive Rate: 0.0045121298

--- Per-Round Attention Weights ---
Round 1: α = [0.06249078646894479, 0.06250888141222789, 0.06256503594688292, 0.06247624295863708, 0.06254409745985952, 0.06255673831995645, 0.061997760031167214, 0.06262218149162255, 0.06253035763604571, 0.062481084500123324, 0.062456778309354255, 0.06262866456394448, 0.06257808879058756, 0.06246969963382453, 0.0625662604369707, 0.06252734203985111]
  Client 0: DR=0.8907, FPR=0.0632, Score=0.8344
  Client 1: DR=0.8907, FPR=0.0629, Score=0.8347
  Client 2: DR=0.8941, FPR=0.0655, Score=0.8356
  Client 3: DR=0.8921, FPR=0.0650, Score=0.8342
  Client 4: DR=0.8921, FPR=0.0637, Score=0.8352
  Client 5: DR=0.8925, FPR=0.0639, Score=0.8355
  Client 6: DR=0.8375, FPR=0.0132, Score=0.8265
  Client 7: DR=0.8926, FPR=0.0629, Score=0.8365
  Client 8: DR=0.8914, FPR=0.0633, Score=0.8350
  Client 9: DR=0.8918, FPR=0.0646, Score=0.8342
  Client 10: DR=0.8897, FPR=0.0628, Score=0.8339
  Client 11: DR=0.8933, FPR=0.0635, Score=0.8366
  Client 12: DR=0.8919, FPR=0.0629, Score=0.8358
  Client 13: DR=0.8926, FPR=0.0655, Score=0.8341
  Client 14: DR=0.8923, FPR=0.0635, Score=0.8356
  Client 15: DR=0.8914, FPR=0.0633, Score=0.8350
Round 2: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 1: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 2: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 3: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 4: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 5: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 6: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 7: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 8: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 9: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 10: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 11: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 12: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 13: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 14: DR=0.8930, FPR=0.0635, Score=0.8363
  Client 15: DR=0.8930, FPR=0.0635, Score=0.8363
Round 3: α = [0.06246296612558854, 0.06252220516700993, 0.06252220516700993, 0.06252220516700993, 0.06252220516700993, 0.06246296612558854, 0.06252220516700993, 0.06252220516700993, 0.06252220516700993, 0.06246296612558854, 0.06252220516700993, 0.06246296612558854, 0.06246296612558854, 0.06252220516700993, 0.06246296612558854, 0.0625223567433795]
  Client 0: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 1: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 2: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 3: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 4: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 5: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 6: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 7: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 8: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 9: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 10: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 11: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 12: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 13: DR=0.8932, FPR=0.0635, Score=0.8365
  Client 14: DR=0.8933, FPR=0.0647, Score=0.8356
  Client 15: DR=0.8933, FPR=0.0635, Score=0.8365
Round 4: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 1: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 2: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 3: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 4: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 5: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 6: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 7: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 8: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 9: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 10: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 11: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 12: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 13: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 14: DR=0.8915, FPR=0.0635, Score=0.8348
  Client 15: DR=0.8915, FPR=0.0635, Score=0.8348
Round 5: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 1: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 2: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 3: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 4: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 5: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 6: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 7: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 8: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 9: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 10: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 11: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 12: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 13: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 14: DR=0.9172, FPR=0.0644, Score=0.8581
  Client 15: DR=0.9172, FPR=0.0644, Score=0.8581
Round 6: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 1: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 2: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 3: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 4: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 5: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 6: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 7: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 8: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 9: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 10: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 11: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 12: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 13: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 14: DR=0.9167, FPR=0.0633, Score=0.8586
  Client 15: DR=0.9167, FPR=0.0633, Score=0.8586
Round 7: α = [0.062498045490892405, 0.06250242632677101, 0.062498045490892405, 0.062498045490892405, 0.06250257790041383, 0.06250242632677101, 0.06250257790041383, 0.06250242632677101, 0.062498045490892405, 0.062498045490892405, 0.06250257790041383, 0.062498045490892405, 0.062498045490892405, 0.06250257790041383, 0.062498045490892405, 0.062498045490892405]
  Client 0: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 1: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 2: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 3: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 4: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 5: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 6: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 7: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 8: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 9: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 10: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 11: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 12: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 13: DR=0.9167, FPR=0.0632, Score=0.8587
  Client 14: DR=0.9166, FPR=0.0632, Score=0.8586
  Client 15: DR=0.9166, FPR=0.0632, Score=0.8586
Round 8: α = [0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]
  Client 0: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 1: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 2: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 3: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 4: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 5: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 6: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 7: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 8: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 9: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 10: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 11: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 12: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 13: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 14: DR=0.9458, FPR=0.0634, Score=0.8859
  Client 15: DR=0.9458, FPR=0.0634, Score=0.8859
