round,accuracy,detection_rate,false_positive_rate
1,0.8517033165104542,0.47023238085129504,0.0056952888229359604
2,0.8529256038211968,0.4693555027391712,0.0038832346831084857
3,0.9400459625090124,0.8022564855160154,0.008539151560725693
4,0.9434086607786591,0.8081044716363581,0.00610249711320734
5,0.943611436553713,0.8033453687562336,0.004029834826170167
6,0.9474867069214131,0.8311449929827878,0.008912883309760566
7,0.9480330749819754,0.8323104137082122,0.008830641781128062
8,0.9511592015140591,0.8316316082694658,0.004253593216943957
9,0.9561497386445565,0.8574223678147174,0.007046280495748136
10,0.9628244412400864,0.8814982062614782,0.006829803761637816
11,0.9644522801009374,0.8871882538414142,0.006713857736872499
12,0.9643339942321558,0.8867589646290686,0.006699559326331717
13,0.965246485219899,0.8854719266331736,0.0049740310596100975
14,0.965308444484499,0.8881452478847205,0.005886464280899526
15,0.9659280371304975,0.8870691924690135,0.00463339716299132
16,0.9658942411679885,0.8870596932109648,0.004620356938518568
17,0.965443628334535,0.8859464521234275,0.0048885305844110685
18,0.9658041186012978,0.8874791407344527,0.004914086440458184
19,0.9660688536409516,0.8879307007974281,0.004772687941773001
20,0.9657308940158615,0.8869845636987654,0.004858586563808094
