round,accuracy,detection_rate,false_positive_rate
1,0.9849956775910916,0.6663962483039774,0.003150131101535352
2,0.9690543279450294,0.6339214627289815,0.002335647575115563
3,0.9676028625465327,0.636554135888793,0.001008540243953582
4,0.9134136977886977,0.7327230986168339,0.0044987280670171995
5,0.978720551851897,0.664926630948723,0.001903745077077793
6,0.9888446281128622,0.6490752162348956,0.0009724052161535355
7,0.961088926776741,0.6114479805352347,0.0005450367127252258
8,0.9768851908510876,0.7797497402455211,0.0011098806460144266
9,0.9820313480131284,0.6515919630902562,0.001955151221274417
10,0.9820397204735278,0.6398634563140595,0.0027799873111627447
11,0.9772289973837571,0.8783683175625395,0.005828061302636299
12,0.8973640620846199,0.890069589497458,0.008368823390154984
13,0.9498541746738712,0.9479111260267001,0.008943039379931598
14,0.9787974814264048,0.8620055370394721,0.0020021422255376295
15,0.9768278566288808,0.8156268404529963,0.0013738486811185231
16,0.9289206317271904,0.9214378651856524,0.007555311153103636
17,0.9694808331675712,0.8440050112330719,0.0020137989989856566
18,0.9492320890877588,0.8317705793631267,0.0035904801769038614
19,0.9806047332238244,0.8342815408302237,0.002105776897757452
20,0.9553069233279947,0.8493822309659098,0.0030219137540264326
