model,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std,benign_precision_mean,benign_precision_std,benign_recall_mean,benign_recall_std,benign_f1_mean,benign_f1_std,attack_precision_mean,attack_precision_std,attack_recall_mean,attack_recall_std,attack_f1_mean,attack_f1_std
dnn,3,0.9614467496,0.0007093965,0.9158888889,0.0019530938,0.0061479587,0.0025959465,0.9432239453,0.0011060064,0.9938520413,0.0025959465,0.9678729160,0.0006538814,0.9906746763,0.0038785715,0.9158888889,0.0019530938,0.9518063450,0.0007461761
cnn,3,0.9523243519,0.0023403464,0.8893684211,0.0092105207,0.0028951145,0.0030738414,0.9268994096,0.0054570335,0.9971048855,0.0030738414,0.9607028611,0.0017692518,0.9955113362,0.0047341154,0.8893684211,0.0092105207,0.9394000246,0.0033640538
xgboost,3,0.9651268215,0.0001216319,0.9216783625,0.0004452901,0.0039683035,0.0001332386,0.9470306954,0.0002792839,0.9960316965,0.0001332386,0.9709132893,0.0000958731,0.9939835122,0.0001983155,0.9216783625,0.0004452901,0.9564662810,0.0001645228
random_forest,3,0.9628103694,0.0002247571,0.9195263158,0.0013556156,0.0064016972,0.0010836340,0.9455299161,0.0008159878,0.9935983028,0.0010836340,0.9689674435,0.0001991473,0.9903120644,0.0016118926,0.9195263158,0.0013556156,0.9536051827,0.0002669579
