round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9570147294735307,0.8968418880749525,0.00018721301923924858,0.14657556237443736
2,0.9588103397987457,0.9011414387584261,0.00017149437274872762,0.13597751204230954
3,0.9598494239463322,0.9039073611447231,0.0003583353728557498,0.13277502932285115
4,0.9604145398862476,0.9054208732481597,0.00046758356061657984,0.13046697956024056
5,0.9610708035584073,0.907657997926116,0.0009358464094673168,0.1296504529776119
6,0.9612713285693453,0.9083814340441894,0.0011078794776895166,0.1296910673592648
7,0.9613898206212629,0.9095003277741491,0.0016999944081622462,0.12927475674480196
8,0.9617999854163629,0.9108609229729605,0.0019652988817014257,0.12838636100506703
9,0.9616632638179963,0.9099170938811417,0.0015291969491205736,0.1298706597100187
10,0.9618182149628116,0.9107079481390616,0.0018249271492622972,0.12893981611040373
11,0.962255724077585,0.912001515786875,0.001996311861546455,0.1285971691161146
12,0.9621372320256671,0.9116726630082509,0.0019654736367483113,0.12987800456858756
13,0.9620643138398717,0.9122210910861313,0.0024801006586880913,0.1286051872373883
14,0.9620551990666473,0.9127687653422303,0.002885609725763882,0.12923749248112645
15,0.9621281172524427,0.9130548874290721,0.0029633648634062796,0.12875193457174827
16,0.9618364445092606,0.9135138433384662,0.0037900534452326756,0.13051156131769975
17,0.9622010354382382,0.9116502362256161,0.0018404293649990138,0.1317667143984152
18,0.9622648388508094,0.9133647104286916,0.002952504294317197,0.1289716676086236
