mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
129.86045440038046,36.07718499634388,0.556663433710734,0.13842716130249896,0.01,6,100,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.9206890125396022,0.9184348599377501,0.9205768804082538,0.9199002509618688,0.001037198645035668,18
452.2400421301524,3.3069541250919086,1.4299251238505046,0.015565792252293471,0.01,6,300,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.9270823224258251,0.9238065743485379,0.9266303628324052,0.9258397532022561,0.001449466351667905,17
355.83813007672626,1.3382518362525453,1.0132067203521729,0.016125462219754146,0.01,6,500,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9344967454247594,0.9325294437716111,0.9345935197918765,0.9338732363294157,0.0009510258139998045,14
150.1631117661794,41.95795730833249,0.796769380569458,0.23448813060658394,0.01,9,100,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.9281671135411738,0.9259184444190723,0.9282585076928469,0.9274480218843643,0.0010822179815812908,16
317.03049699465436,64.71288605807402,1.070044994354248,0.019174280219962075,0.01,9,300,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.9367908109989558,0.9350339335964385,0.9374249986956295,0.9364165810970079,0.0010113799456769293,13
407.6287417411804,13.703782147499073,1.7347675164540608,0.031729663341640194,0.01,9,500,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9433488798705513,0.9415526459450794,0.944091101823248,0.9429975425462929,0.0010656822534304668,11
185.3639939626058,0.8987440360080184,1.258703311284383,0.016224320671445067,0.01,12,100,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100}",0.9342401255558462,0.932015934584338,0.934885343098788,0.9337138010796574,0.0012291296097581156,15
401.8741950194041,109.92366494925999,2.7322203318277993,0.9135861131307866,0.01,12,300,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 300}",0.9429489233113695,0.9405915681153636,0.9435020910720315,0.9423475274995882,0.0012620205128136954,12
605.4265115261078,125.23738315389454,2.345187266667684,0.08421118265401485,0.01,12,500,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.9476942710309385,0.9462035150719934,0.9484361937758012,0.9474446599595777,0.0009284190195591167,9
97.41705814997356,35.207100808923364,0.48357248306274414,0.1744379139203409,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9459067858005312,0.945011803567877,0.9468101592767972,0.9459095828817352,0.0007341783079057345,10
189.712299823761,1.276580984670336,0.7144520282745361,0.007034717984062206,0.1,6,300,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300}",0.9523042934698841,0.9513296709889187,0.953279179136383,0.9523043811983953,0.0007958833708652073,6
461.8137695789337,87.47925607275963,1.496999979019165,0.6813322799057513,0.1,6,500,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9533153140823868,0.9524062339441686,0.9542818587887639,0.9533344689384399,0.0007658404188857485,5
107.9450336297353,38.72922374270082,0.680747906366984,0.2507887529253376,0.1,9,100,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9500832517980672,0.9486002201128079,0.9503145571738776,0.9496660096949174,0.0007595200761971725,8
281.5102535883586,99.16975904056349,1.5863064130147297,0.6592256138751517,0.1,9,300,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 300}",0.9533775401069519,0.9526296860817591,0.9545229265291474,0.9535100509059529,0.0007785709908953367,4
356.09292125701904,2.8009502466666407,1.7262194951375325,0.003740470970562703,0.1,9,500,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9544836549890121,0.9538229909835926,0.9556432329029173,0.954649959625174,0.0007523576654860575,2
117.19028290112813,40.60172063782069,0.8699907461802164,0.3353690851383265,0.1,12,100,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.9521222352668969,0.9512410662960198,0.9533970931029755,0.9522534648886306,0.000885072052921194,7
299.9780372778575,46.74224067755872,1.549080530802409,0.009286321837027116,0.1,12,300,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 300}",0.9544389526431907,0.9532982320962288,0.955527080129848,0.9544214216230892,0.0009100078357689822,3
428.31976501146954,8.93246457189229,2.429451068242391,0.0417652168622733,0.1,12,500,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.9551828617761277,0.9541677697030768,0.9562252829674076,0.955191971482204,0.0008400009715402654,1
