round,accuracy,detection_rate,false_positive_rate
1,0.9303142286593064,0.8838872152801517,0.00016480125114490957
2,0.983818604333265,0.8137678107259484,0.0008370275913291131
3,0.9765181134170398,0.8932135605201474,0.003701109232159566
4,0.9346524097707817,0.9345439279918973,0.005671662851588222
5,0.9440594525101126,0.9439987221053583,0.0075622171354509625
6,0.974900559174497,0.8857795634057928,0.006369635741942495
7,0.9535690514128965,0.9326919184934304,0.009089379257634957
8,0.961025546858861,0.9408159993530127,0.0006717714888812615
9,0.955612862892197,0.9386001434519609,0.010599100218007335
10,0.9650864756274968,0.9463960463342028,0.0017573809950234584
11,0.948400292184076,0.9482667092768444,0.012637606672123117
12,0.9600884117461319,0.9437122466251049,0.0013300302232595812
13,0.9687209456767167,0.9537197008605702,0.0032419183594596442
14,0.9837300111565638,0.8662165401142916,0.007257108820678643
15,0.9311230103425512,0.9308800815434743,0.0357924399129563
16,0.9856072492075182,0.866286131822509,0.0019170741622291229
17,0.9869298303518383,0.8799452415984561,0.0023978773101932787
18,0.9607242749889593,0.9607247350213456,0.012591393100740958
19,0.9836809058762452,0.9037639447490774,0.005173487542925058
20,0.9705483433443131,0.940532343650426,0.0094581598945499
