Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 70814, 'n_jobs': -1, 'max_depth': 9, 'learning_rate': 0.20211525651495557, 'n_estimators': 900, 'min_child_weight': 1, 'gamma': 0.0011375210935630209, 'subsample': 0.8669667098532958, 'colsample_bytree': 0.9319591927218307, 'max_delta_step': 8}
Optimal Threshold: 0.3300
Accuracy: 0.9566120976
Detection Rate: 0.9022982456
False Positive Rate: 0.0047544768

--- Per-Round Attention Weights ---
Round 1: α = [0.07716154790213552, 0.044933427808766926, 0.044933427808766926, 0.055558491819326795, 0.104208429465506, 0.10303913422663952, 0.0990277884262113, 0.08310345886143095, 0.09549760191327597, 0.09336842498280017, 0.09620954514677227, 0.10295872163836765]
  Client 0: DR=0.5413, FPR=0.0011, Score=0.5407
  Client 1: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.2274, FPR=0.0666, Score=0.2123
  Client 4: DR=0.8459, FPR=0.0055, Score=0.8412
  Client 5: DR=0.8391, FPR=0.0109, Score=0.8299
  Client 6: DR=0.7937, FPR=0.0044, Score=0.7902
  Client 7: DR=0.6157, FPR=0.0012, Score=0.6149
  Client 8: DR=0.7569, FPR=0.0039, Score=0.7539
  Client 9: DR=0.7584, FPR=0.0356, Score=0.7314
  Client 10: DR=0.7679, FPR=0.0085, Score=0.7613
  Client 11: DR=0.8323, FPR=0.0038, Score=0.8291
Round 2: α = [0.08304874050889424, 0.08321394975845677, 0.08311344953373553, 0.08321936652453703, 0.08304874050889424, 0.08359950921795536, 0.08335866743604098, 0.0832993079313333, 0.08340113167733809, 0.08354427013040862, 0.08359069963484217, 0.08356216713756363]
  Client 0: DR=0.8240, FPR=0.0005, Score=0.8236
  Client 1: DR=0.8261, FPR=0.0005, Score=0.8256
  Client 2: DR=0.8248, FPR=0.0005, Score=0.8244
  Client 3: DR=0.8261, FPR=0.0005, Score=0.8257
  Client 4: DR=0.8240, FPR=0.0005, Score=0.8236
  Client 5: DR=0.8308, FPR=0.0006, Score=0.8302
  Client 6: DR=0.8278, FPR=0.0006, Score=0.8273
  Client 7: DR=0.8272, FPR=0.0007, Score=0.8266
  Client 8: DR=0.8283, FPR=0.0006, Score=0.8279
  Client 9: DR=0.8300, FPR=0.0005, Score=0.8296
  Client 10: DR=0.8307, FPR=0.0007, Score=0.8301
  Client 11: DR=0.8303, FPR=0.0006, Score=0.8298
Round 3: α = [0.0833185728603779, 0.08206003471914616, 0.0829233254335494, 0.08206003471914616, 0.08356521488742269, 0.08352664634026861, 0.08424051759559202, 0.08291447239620128, 0.08387512848494742, 0.08398990407874994, 0.08363703434814775, 0.0838891141364505]
  Client 0: DR=0.9627, FPR=0.3769, Score=0.5998
  Client 1: DR=0.9700, FPR=0.3973, Score=0.5846
  Client 2: DR=0.9684, FPR=0.3855, Score=0.5951
  Client 3: DR=0.9700, FPR=0.3973, Score=0.5846
  Client 4: DR=0.9677, FPR=0.3771, Score=0.6028
  Client 5: DR=0.9652, FPR=0.3760, Score=0.6023
  Client 6: DR=0.9631, FPR=0.3658, Score=0.6108
  Client 7: DR=0.9683, FPR=0.3856, Score=0.5949
  Client 8: DR=0.9659, FPR=0.3721, Score=0.6065
  Client 9: DR=0.9666, FPR=0.3712, Score=0.6078
  Client 10: DR=0.9672, FPR=0.3759, Score=0.6036
  Client 11: DR=0.9662, FPR=0.3721, Score=0.6066
Round 4: α = [0.08356998706551623, 0.08314193742167889, 0.08316923483367675, 0.08314193742167889, 0.08314193742167889, 0.08346016473871043, 0.08314193742167889, 0.083546294631978, 0.08343619594745652, 0.08315292892146015, 0.08358601543196506, 0.08351142874252136]
  Client 0: DR=0.8743, FPR=0.0015, Score=0.8730
  Client 1: DR=0.8690, FPR=0.0013, Score=0.8679
  Client 2: DR=0.8693, FPR=0.0013, Score=0.8682
  Client 3: DR=0.8690, FPR=0.0013, Score=0.8679
  Client 4: DR=0.8690, FPR=0.0013, Score=0.8679
  Client 5: DR=0.8729, FPR=0.0014, Score=0.8717
  Client 6: DR=0.8690, FPR=0.0013, Score=0.8679
  Client 7: DR=0.8742, FPR=0.0016, Score=0.8727
  Client 8: DR=0.8725, FPR=0.0013, Score=0.8714
  Client 9: DR=0.8691, FPR=0.0013, Score=0.8680
  Client 10: DR=0.8746, FPR=0.0015, Score=0.8732
  Client 11: DR=0.8736, FPR=0.0014, Score=0.8723
Round 5: α = [0.08366526450434454, 0.08290365806365685, 0.08290365806365685, 0.08358814902784842, 0.0833176397611758, 0.08290365806365685, 0.08345874743922463, 0.08290365806365685, 0.08358042360265085, 0.08373061213168657, 0.08345852857001904, 0.08358600270842274]
  Client 0: DR=0.9528, FPR=0.3319, Score=0.6366
  Client 1: DR=0.9664, FPR=0.3507, Score=0.6275
  Client 2: DR=0.9664, FPR=0.3507, Score=0.6275
  Client 3: DR=0.9623, FPR=0.3395, Score=0.6357
  Client 4: DR=0.9626, FPR=0.3430, Score=0.6324
  Client 5: DR=0.9664, FPR=0.3507, Score=0.6275
  Client 6: DR=0.9659, FPR=0.3435, Score=0.6341
  Client 7: DR=0.9664, FPR=0.3507, Score=0.6275
  Client 8: DR=0.9612, FPR=0.3387, Score=0.6356
  Client 9: DR=0.9596, FPR=0.3358, Score=0.6374
  Client 10: DR=0.9666, FPR=0.3440, Score=0.6341
  Client 11: DR=0.9644, FPR=0.3409, Score=0.6356
Round 6: α = [0.08320723703599892, 0.08320723703599892, 0.08320723703599892, 0.08322177909201273, 0.08342634994434873, 0.08367674973550521, 0.08320723703599892, 0.08340905841403351, 0.08300213029859738, 0.08320723703599892, 0.0836725560931157, 0.08355519124239216]
  Client 0: DR=0.8791, FPR=0.0007, Score=0.8785
  Client 1: DR=0.8791, FPR=0.0007, Score=0.8785
  Client 2: DR=0.8791, FPR=0.0007, Score=0.8785
  Client 3: DR=0.8799, FPR=0.0014, Score=0.8787
  Client 4: DR=0.8819, FPR=0.0008, Score=0.8811
  Client 5: DR=0.8850, FPR=0.0010, Score=0.8841
  Client 6: DR=0.8791, FPR=0.0007, Score=0.8785
  Client 7: DR=0.8816, FPR=0.0008, Score=0.8809
  Client 8: DR=0.8767, FPR=0.0008, Score=0.8760
  Client 9: DR=0.8791, FPR=0.0007, Score=0.8785
  Client 10: DR=0.8849, FPR=0.0010, Score=0.8841
  Client 11: DR=0.8834, FPR=0.0009, Score=0.8827
Round 7: α = [0.0831243448121647, 0.08345398882712753, 0.0831243448121647, 0.08302367999194836, 0.0831243448121647, 0.08349540261231526, 0.08359157821612895, 0.08346262231034116, 0.08346023056243781, 0.0831243448121647, 0.08337821524670586, 0.08363690298433646]
  Client 0: DR=0.9579, FPR=0.3281, Score=0.6436
  Client 1: DR=0.9548, FPR=0.3219, Score=0.6475
  Client 2: DR=0.9579, FPR=0.3281, Score=0.6436
  Client 3: DR=0.9491, FPR=0.3232, Score=0.6424
  Client 4: DR=0.9579, FPR=0.3281, Score=0.6436
  Client 5: DR=0.9565, FPR=0.3225, Score=0.6480
  Client 6: DR=0.9591, FPR=0.3231, Score=0.6492
  Client 7: DR=0.9554, FPR=0.3222, Score=0.6476
  Client 8: DR=0.9541, FPR=0.3213, Score=0.6476
  Client 9: DR=0.9579, FPR=0.3281, Score=0.6436
  Client 10: DR=0.9615, FPR=0.3275, Score=0.6466
  Client 11: DR=0.9582, FPR=0.3219, Score=0.6497
Round 8: α = [0.08318206952965862, 0.08369592894048551, 0.08318206952965862, 0.08318206952965862, 0.08318206952965862, 0.0833841205583787, 0.08350081953664017, 0.08306567371514728, 0.08318206952965862, 0.08337536201197339, 0.08354406328763625, 0.08352368430144548]
  Client 0: DR=0.8860, FPR=0.0007, Score=0.8854
  Client 1: DR=0.8945, FPR=0.0033, Score=0.8916
  Client 2: DR=0.8860, FPR=0.0007, Score=0.8854
  Client 3: DR=0.8860, FPR=0.0007, Score=0.8854
  Client 4: DR=0.8860, FPR=0.0007, Score=0.8854
  Client 5: DR=0.8888, FPR=0.0011, Score=0.8878
  Client 6: DR=0.8901, FPR=0.0010, Score=0.8892
  Client 7: DR=0.8846, FPR=0.0007, Score=0.8840
  Client 8: DR=0.8860, FPR=0.0007, Score=0.8854
  Client 9: DR=0.8885, FPR=0.0008, Score=0.8877
  Client 10: DR=0.8908, FPR=0.0012, Score=0.8897
  Client 11: DR=0.8903, FPR=0.0009, Score=0.8895
Round 9: α = [0.08303672456791418, 0.08344437147598467, 0.08303672456791418, 0.08303672456791418, 0.08357252817331283, 0.083407103055869, 0.08341495728716683, 0.08303672456791418, 0.08358914498394045, 0.08348296265056993, 0.08339351971436375, 0.08354851438713573]
  Client 0: DR=0.9675, FPR=0.3299, Score=0.6484
  Client 1: DR=0.9606, FPR=0.3199, Score=0.6533
  Client 2: DR=0.9675, FPR=0.3299, Score=0.6484
  Client 3: DR=0.9675, FPR=0.3299, Score=0.6484
  Client 4: DR=0.9658, FPR=0.3220, Score=0.6548
  Client 5: DR=0.9651, FPR=0.3236, Score=0.6528
  Client 6: DR=0.9668, FPR=0.3247, Score=0.6529
  Client 7: DR=0.9675, FPR=0.3299, Score=0.6484
  Client 8: DR=0.9632, FPR=0.3200, Score=0.6550
  Client 9: DR=0.9649, FPR=0.3225, Score=0.6537
  Client 10: DR=0.9677, FPR=0.3256, Score=0.6527
  Client 11: DR=0.9663, FPR=0.3227, Score=0.6545
Round 10: α = [0.08322097078506391, 0.08322097078506391, 0.08322097078506391, 0.0836588732079788, 0.0833964835250291, 0.0834585927812778, 0.08322097078506391, 0.08322097078506391, 0.08310834990882608, 0.08331276778063192, 0.08350598329641146, 0.08345409557452532]
  Client 0: DR=0.8902, FPR=0.0006, Score=0.8896
  Client 1: DR=0.8902, FPR=0.0006, Score=0.8896
  Client 2: DR=0.8902, FPR=0.0006, Score=0.8896
  Client 3: DR=0.8973, FPR=0.0027, Score=0.8948
  Client 4: DR=0.8931, FPR=0.0015, Score=0.8917
  Client 5: DR=0.8938, FPR=0.0016, Score=0.8924
  Client 6: DR=0.8902, FPR=0.0006, Score=0.8896
  Client 7: DR=0.8902, FPR=0.0006, Score=0.8896
  Client 8: DR=0.8888, FPR=0.0007, Score=0.8882
  Client 9: DR=0.8913, FPR=0.0007, Score=0.8907
  Client 10: DR=0.8939, FPR=0.0009, Score=0.8930
  Client 11: DR=0.8931, FPR=0.0008, Score=0.8924
Round 11: α = [0.08341491913823569, 0.08317087389517834, 0.08317087389517834, 0.08344997956921617, 0.08335366801084486, 0.08317087389517834, 0.08317087389517834, 0.08346693655366742, 0.08336076947041189, 0.08344559427429633, 0.08336011564394802, 0.08346452175866627]
  Client 0: DR=0.9635, FPR=0.3142, Score=0.6608
  Client 1: DR=0.9687, FPR=0.3210, Score=0.6578
  Client 2: DR=0.9687, FPR=0.3210, Score=0.6578
  Client 3: DR=0.9676, FPR=0.3167, Score=0.6612
  Client 4: DR=0.9669, FPR=0.3174, Score=0.6600
  Client 5: DR=0.9687, FPR=0.3210, Score=0.6578
  Client 6: DR=0.9687, FPR=0.3210, Score=0.6578
  Client 7: DR=0.9653, FPR=0.3148, Score=0.6614
  Client 8: DR=0.9684, FPR=0.3184, Score=0.6601
  Client 9: DR=0.9666, FPR=0.3160, Score=0.6611
  Client 10: DR=0.9689, FPR=0.3187, Score=0.6601
  Client 11: DR=0.9682, FPR=0.3169, Score=0.6613
Round 12: α = [0.08323713051077418, 0.08357928942384747, 0.08323713051077418, 0.08323713051077418, 0.08323713051077418, 0.08337681384732698, 0.08345583696207114, 0.08312653259333207, 0.08323713051077418, 0.08331790834979215, 0.08350333485562458, 0.08345463141413473]
  Client 0: DR=0.8910, FPR=0.0006, Score=0.8904
  Client 1: DR=0.8978, FPR=0.0036, Score=0.8945
  Client 2: DR=0.8910, FPR=0.0006, Score=0.8904
  Client 3: DR=0.8910, FPR=0.0006, Score=0.8904
  Client 4: DR=0.8910, FPR=0.0006, Score=0.8904
  Client 5: DR=0.8927, FPR=0.0007, Score=0.8921
  Client 6: DR=0.8939, FPR=0.0010, Score=0.8931
  Client 7: DR=0.8897, FPR=0.0007, Score=0.8891
  Client 8: DR=0.8910, FPR=0.0006, Score=0.8904
  Client 9: DR=0.8920, FPR=0.0007, Score=0.8914
  Client 10: DR=0.8946, FPR=0.0011, Score=0.8936
  Client 11: DR=0.8937, FPR=0.0008, Score=0.8930
Round 13: α = [0.08342344802793669, 0.08324966686206804, 0.0831694562827051, 0.08331079045086444, 0.0834656356820515, 0.08324966686206804, 0.08331009417364717, 0.08342910586300488, 0.08341636329191046, 0.08324966686206804, 0.08331963654189631, 0.08340646909977911]
  Client 0: DR=0.9664, FPR=0.3117, Score=0.6652
  Client 1: DR=0.9683, FPR=0.3152, Score=0.6631
  Client 2: DR=0.9567, FPR=0.3079, Score=0.6621
  Client 3: DR=0.9643, FPR=0.3116, Score=0.6638
  Client 4: DR=0.9670, FPR=0.3116, Score=0.6657
  Client 5: DR=0.9683, FPR=0.3152, Score=0.6631
  Client 6: DR=0.9681, FPR=0.3143, Score=0.6638
  Client 7: DR=0.9664, FPR=0.3117, Score=0.6652
  Client 8: DR=0.9652, FPR=0.3109, Score=0.6651
  Client 9: DR=0.9683, FPR=0.3152, Score=0.6631
  Client 10: DR=0.9688, FPR=0.3147, Score=0.6639
  Client 11: DR=0.9674, FPR=0.3126, Score=0.6649
Round 14: α = [0.08313884326110232, 0.08313884326110232, 0.08333490252040983, 0.08313884326110232, 0.08313884326110232, 0.08366294044623328, 0.08353216595112557, 0.08341606065429219, 0.08313884326110232, 0.08310736504362387, 0.08368379425472718, 0.08356855482407649]
  Client 0: DR=0.8826, FPR=0.0002, Score=0.8824
  Client 1: DR=0.8826, FPR=0.0002, Score=0.8824
  Client 2: DR=0.8855, FPR=0.0008, Score=0.8848
  Client 3: DR=0.8826, FPR=0.0002, Score=0.8824
  Client 4: DR=0.8826, FPR=0.0002, Score=0.8824
  Client 5: DR=0.8891, FPR=0.0005, Score=0.8887
  Client 6: DR=0.8875, FPR=0.0004, Score=0.8871
  Client 7: DR=0.8861, FPR=0.0004, Score=0.8858
  Client 8: DR=0.8826, FPR=0.0002, Score=0.8824
  Client 9: DR=0.8823, FPR=0.0003, Score=0.8820
  Client 10: DR=0.8897, FPR=0.0009, Score=0.8890
  Client 11: DR=0.8880, FPR=0.0004, Score=0.8876
Round 15: α = [0.08278347214753931, 0.08358365493308537, 0.08335373677064152, 0.08295783013444738, 0.08278347214753931, 0.08348707528208597, 0.08353611225604347, 0.08354051757200401, 0.08320913275234523, 0.08371073680099869, 0.08340030060684224, 0.08365395859642741]
  Client 0: DR=0.9753, FPR=0.3465, Score=0.6374
  Client 1: DR=0.9698, FPR=0.3329, Score=0.6470
  Client 2: DR=0.9717, FPR=0.3370, Score=0.6442
  Client 3: DR=0.9736, FPR=0.3432, Score=0.6395
  Client 4: DR=0.9753, FPR=0.3465, Score=0.6374
  Client 5: DR=0.9739, FPR=0.3369, Score=0.6458
  Client 6: DR=0.9723, FPR=0.3352, Score=0.6464
  Client 7: DR=0.9719, FPR=0.3348, Score=0.6465
  Client 8: DR=0.9727, FPR=0.3395, Score=0.6425
  Client 9: DR=0.9695, FPR=0.3311, Score=0.6485
  Client 10: DR=0.9751, FPR=0.3387, Score=0.6448
  Client 11: DR=0.9729, FPR=0.3342, Score=0.6478
Round 16: α = [0.08326781807835354, 0.08323987544285893, 0.08326781807835354, 0.08338856617554213, 0.08326781807835354, 0.08326781807835354, 0.08312296769918738, 0.08358967430579888, 0.08326781807835354, 0.08335954474746535, 0.08353798748955958, 0.08342229374781995]
  Client 0: DR=0.8937, FPR=0.0008, Score=0.8930
  Client 1: DR=0.8934, FPR=0.0008, Score=0.8926
  Client 2: DR=0.8937, FPR=0.0008, Score=0.8930
  Client 3: DR=0.8952, FPR=0.0009, Score=0.8944
  Client 4: DR=0.8937, FPR=0.0008, Score=0.8930
  Client 5: DR=0.8937, FPR=0.0008, Score=0.8930
  Client 6: DR=0.8919, FPR=0.0008, Score=0.8912
  Client 7: DR=0.8978, FPR=0.0011, Score=0.8968
  Client 8: DR=0.8937, FPR=0.0008, Score=0.8930
  Client 9: DR=0.8949, FPR=0.0009, Score=0.8941
  Client 10: DR=0.8972, FPR=0.0012, Score=0.8962
  Client 11: DR=0.8956, FPR=0.0009, Score=0.8948
Round 17: α = [0.08334472992711839, 0.08330348407923145, 0.08332899319419139, 0.08313579173891626, 0.08330461473358275, 0.08334472992711839, 0.08328720696779783, 0.08344045309498038, 0.08324815284646103, 0.08335363922283509, 0.08346264509674932, 0.08344555917101776]
  Client 0: DR=0.9613, FPR=0.3065, Score=0.6667
  Client 1: DR=0.9580, FPR=0.3047, Score=0.6662
  Client 2: DR=0.9598, FPR=0.3056, Score=0.6665
  Client 3: DR=0.9543, FPR=0.3041, Score=0.6641
  Client 4: DR=0.9600, FPR=0.3061, Score=0.6662
  Client 5: DR=0.9613, FPR=0.3065, Score=0.6667
  Client 6: DR=0.9582, FPR=0.3050, Score=0.6660
  Client 7: DR=0.9634, FPR=0.3068, Score=0.6678
  Client 8: DR=0.9578, FPR=0.3052, Score=0.6655
  Client 9: DR=0.9595, FPR=0.3051, Score=0.6668
  Client 10: DR=0.9642, FPR=0.3072, Score=0.6681
  Client 11: DR=0.9622, FPR=0.3059, Score=0.6679
Round 18: α = [0.08321611007314436, 0.08321611007314436, 0.08320783676751078, 0.08321611007314436, 0.08321611007314436, 0.08339481738084141, 0.08362666353671344, 0.08321611007314436, 0.08334320499054053, 0.08311146445747448, 0.0836822904397145, 0.08355317206148313]
  Client 0: DR=0.8909, FPR=0.0005, Score=0.8905
  Client 1: DR=0.8909, FPR=0.0005, Score=0.8905
  Client 2: DR=0.8909, FPR=0.0006, Score=0.8904
  Client 3: DR=0.8909, FPR=0.0005, Score=0.8905
  Client 4: DR=0.8909, FPR=0.0005, Score=0.8905
  Client 5: DR=0.8932, FPR=0.0007, Score=0.8926
  Client 6: DR=0.8962, FPR=0.0009, Score=0.8954
  Client 7: DR=0.8909, FPR=0.0005, Score=0.8905
  Client 8: DR=0.8926, FPR=0.0007, Score=0.8920
  Client 9: DR=0.8897, FPR=0.0005, Score=0.8892
  Client 10: DR=0.8970, FPR=0.0010, Score=0.8961
  Client 11: DR=0.8952, FPR=0.0007, Score=0.8945
Round 19: α = [0.0833463718859902, 0.0833463718859902, 0.08303253513986758, 0.0833463718859902, 0.0833463718859902, 0.08335706734252682, 0.08328681666792902, 0.08332171581226974, 0.08340670541294812, 0.0833463718859902, 0.08341923462337653, 0.08344406557113118]
  Client 0: DR=0.9643, FPR=0.3080, Score=0.6673
  Client 1: DR=0.9643, FPR=0.3080, Score=0.6673
  Client 2: DR=0.9549, FPR=0.3052, Score=0.6635
  Client 3: DR=0.9643, FPR=0.3080, Score=0.6673
  Client 4: DR=0.9643, FPR=0.3080, Score=0.6673
  Client 5: DR=0.9628, FPR=0.3068, Score=0.6674
  Client 6: DR=0.9605, FPR=0.3060, Score=0.6666
  Client 7: DR=0.9619, FPR=0.3066, Score=0.6670
  Client 8: DR=0.9659, FPR=0.3084, Score=0.6680
  Client 9: DR=0.9643, FPR=0.3080, Score=0.6673
  Client 10: DR=0.9667, FPR=0.3089, Score=0.6681
  Client 11: DR=0.9652, FPR=0.3074, Score=0.6684
Round 20: α = [0.08326593495352605, 0.08326593495352605, 0.08326593495352605, 0.08326593495352605, 0.0835451188339073, 0.08329966251857601, 0.08346538690332324, 0.08316459816927849, 0.08326593495352605, 0.08328582597415202, 0.0835190393584847, 0.08339069347464802]
  Client 0: DR=0.8969, FPR=0.0010, Score=0.8960
  Client 1: DR=0.8969, FPR=0.0010, Score=0.8960
  Client 2: DR=0.8969, FPR=0.0010, Score=0.8960
  Client 3: DR=0.8969, FPR=0.0010, Score=0.8960
  Client 4: DR=0.9004, FPR=0.0013, Score=0.8993
  Client 5: DR=0.8974, FPR=0.0011, Score=0.8964
  Client 6: DR=0.8996, FPR=0.0013, Score=0.8983
  Client 7: DR=0.8956, FPR=0.0010, Score=0.8947
  Client 8: DR=0.8969, FPR=0.0010, Score=0.8960
  Client 9: DR=0.8971, FPR=0.0011, Score=0.8962
  Client 10: DR=0.9004, FPR=0.0016, Score=0.8990
  Client 11: DR=0.8985, FPR=0.0011, Score=0.8975
