round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.5642744290707138,0.9566271364458436,0.5633133346153585,0.11536502089548697
2,0.5331912053374038,0.9798144497154953,0.6140293172768614,0.11438344574035919
3,0.7862081395971037,0.8600503988016099,0.22658495986156757,0.10757736416804183
4,0.8588145173327626,0.8242333777698152,0.1110711302834584,0.10612924124604657
5,0.9029145626747851,0.7369779586424139,0.0043226338018742105,0.10574698242753741
6,0.8908778046575552,0.7910615287416547,0.047065723088035256,0.10627739589950017
7,0.9078205131815738,0.7449451024846319,0.0007840502561590205,0.10523122244253666
8,0.9070995468614026,0.755181738569761,0.0059322296679553375,0.10484932293348029
9,0.9076768831724771,0.7541253666181178,0.004684983028706016,0.1046562741906091
10,0.9085076842054867,0.7483268225363336,0.0010512205691270416,0.10446582130795881
11,0.9078965525981542,0.745428027830802,0.0005698179841470788,0.10406532032783285
12,0.9093103224916146,0.7515779430042194,0.001372997696735787,0.10409701780409104
13,0.9096679893770119,0.7501441197261893,0.0008706789535913702,0.10349923311268383
14,0.9087921279489917,0.7481970064354578,0.000556741692558621,0.10321015601405076
15,0.9094990128957218,0.7511604263513494,0.0009991973861155664,0.10328957159503888
16,0.9080345500578745,0.744841160731236,0.00020713522194055778,0.10282444701174662
17,0.9080401826072507,0.7451575730946789,0.000169730100453992,0.10320287818972318
18,0.9079810408387993,0.7440958766992021,0.0001637422799448538,0.10304924939749856
19,0.9091638762078298,0.7502793278956803,0.0006077690154935734,0.10287972710644164
20,0.9085161330295511,0.7463852735809307,0.00024369412983483388,0.10232715017326305
