round,accuracy,detection_rate,false_positive_rate
1,0.9534984092534591,0.9028663510858572,0.0027639317268410082
2,0.9746647837698019,0.9252641079563406,0.002295432714322025
3,0.9693475964078183,0.8917573500621049,0.001242958274565625
4,0.9303315097956704,0.9122808773051901,0.00025856789852625987
5,0.9651255131570092,0.903467047101595,0.0031989533495896884
6,0.9686417829968246,0.9008738917126193,0.001871336259453335
7,0.9430516067890067,0.8840129756952615,0.000383162610584357
8,0.9780032266070985,0.9147516888524423,0.0002928949345626571
9,0.9177820267686423,0.870946035704643,0.003563487308922196
10,0.929178368258083,0.9175330858977089,0.003801247808839656
11,0.9067142143278971,0.8780261985353408,0.005355209094671
12,0.9583397899705577,0.9083827336415458,0.004263413226336964
13,0.9582072571470069,0.9061830040196807,0.0030736533238766486
14,0.9599631609915833,0.9017652220198611,0.001983732412918565
15,0.9879852526566906,0.937968123454327,0.0009349730913517006
16,0.8949610967024824,0.8618445972937333,0.0023201790322614543
17,0.9235204288341073,0.8843110374753074,0.002709982546156819
18,0.9682990934935365,0.9505528144978422,0.004372399070856001
19,0.9742784671282648,0.92522424977349,0.0012650935884091592
20,0.9189428020565553,0.8659879810991686,0.003777100023722924
