round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9509429490743694,0.9101250530230578,0.0002911965869815058,0.04064306512857754
2,0.9514078152202645,0.9106854831808173,3.119963431944705e-05,0.03717745868236995
3,0.9516994959392575,0.9112800015181053,0.00015599817159723525,0.03717850178480745
4,0.9535680755453062,0.9134264507051584,0.00017679792781019992,0.03696640442625603
5,0.9545798430393131,0.9145206584833576,0.0002703968307685411,0.037180459577414476
6,0.9545524979719074,0.9143093154701701,0.000207997562129647,0.03715544212859511
7,0.9545342679269704,0.914356450794984,0.00013519841538427055,0.03742347547329537
8,0.9546618782415299,0.9148156155022464,0.00021839744023612935,0.03718518985468847
9,0.9558559461849073,0.9163208379675224,0.0004991941491111528,0.03785337431684213
10,0.954698338331404,0.9153661181474941,0.0005095940272176351,0.0388722637596361
11,0.954853293713369,0.9153932431609209,0.00036399573372688224,0.037816638759402686
12,0.9529026789051034,0.9125029164400791,0.0001039987810648235,0.03736896883770099
13,0.9510523293439919,0.9115813865570377,0.0004263950023657763,0.04086384854872619
14,0.949457200411999,0.9098945325556036,0.00032239622130095284,0.04116809516918455
15,0.9534586952756837,0.913502106121862,0.0001663980497037176,0.047344982797179296
