round,accuracy,detection_rate,false_positive_rate
1,0.8843931529336841,0.08553359994568187,0.017471127915160846
2,0.9545763760049475,0.3509243630383554,5.206861010190962e-05
3,0.9572249248495964,0.3054663269678868,8.096366662030063e-05
4,0.9585410536834509,0.9310136021533642,0.0055229099557047
5,0.9183876010023737,0.854094769221971,5.933472571034989e-05
6,0.9705519155056441,0.7249481487059073,0.00042502088531223375
7,0.9800270617302554,0.7636605500221951,6.706669137966403e-05
8,0.9470023895288706,0.9469336943766699,0.0
9,0.9692234995197223,0.7106488777600872,0.0004532498156151734
10,0.9744057384557138,0.7108648096569334,7.17151151147165e-05
11,0.9880066001200022,0.7493463491477553,7.636183970994166e-05
12,0.9559315633228085,0.923991178799557,0.005243025015722557
13,0.9336064838352722,0.8636087287151542,0.0008838770343794388
14,0.9683059648827141,0.9163436923175993,7.556788769436729e-05
15,0.9018780526955446,0.9007559329544583,0.0
16,0.9602401779328664,0.7360008087841798,0.00047463705701435247
17,0.9794346520235423,0.7636590191599776,0.0004666291922561252
18,0.9899106448974606,0.7878371301153909,0.00011929726351281162
19,0.9811152741775427,0.7747710143340016,0.00010556817200273979
20,0.8503136306223373,0.8045802423332844,0.0017445194816171853
