mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
99.38273708025615,0.6730613081391091,2.401133934656779,0.08357721066628593,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9055167055167055,0.9042029226477489,0.9044222644503072,0.9047139642049206,0.0005746436094496927,27
295.8088876406352,2.552665860192564,6.939257303873698,0.22184705407172242,10,2,300,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 300}",0.9061144598411887,0.9051376663406538,0.9043109948108395,0.9051877069975607,0.0007371112893952017,24
507.22291501363117,5.292253406592781,12.31162961324056,0.6448738261009132,10,2,500,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 500}",0.9060678055307431,0.9057088970160481,0.9044732959356869,0.905416666160826,0.0006829662591662821,22
99.50942317644756,1.2014299184218593,2.3374476432800293,0.04880328837672821,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.906012657055994,0.9040196216044504,0.9051693615012393,0.9050672133872278,0.0008168530082678999,26
299.992666721344,3.2886878611686443,7.182097355524699,0.02532209169742444,10,5,300,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.9078026337847152,0.9049567648638139,0.9044183716106035,0.9057259234197108,0.001484814529127656,19
507.863529920578,5.185143733120385,11.38145105044047,0.3962709123133002,10,5,500,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 500}",0.9067407344143957,0.9052466254759894,0.9045445466180376,0.9055106355028076,0.0009158188248460001,20
105.46684590975444,2.0991510973192775,2.5043307145436606,0.0925016474482378,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.9055943150063845,0.9046616585783825,0.9052420469752884,0.9051660068533519,0.0003845331180201609,25
306.7640353043874,2.4919162964700536,6.853789329528809,0.07484251597242023,10,10,300,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.9062941628121766,0.904989337124578,0.9049730616588697,0.905418853865208,0.000618972555761193,21
508.40235447883606,2.989445408944079,11.327844301859537,0.28468248974768295,10,10,500,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 500}",0.9062757285586074,0.9051347967491721,0.9045099800731268,0.9053068351269687,0.0007310562363550656,23
135.54847733179727,3.579424659768327,3.1567911307017007,0.10919324061574232,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9187593448741334,0.9133271342576732,0.9151448672365534,0.9157437821227866,0.002257764724398807,10
406.0804793039958,7.15527159177399,9.449002027511597,0.08367828368651559,20,2,300,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 300}",0.9183325821754043,0.9135041113219481,0.9148021727543858,0.9155462887505794,0.0020402310584036487,11
693.0120375156403,10.450833799507404,14.929736057917276,1.0718590822081022,20,2,500,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 500}",0.9181564779105731,0.9135189503384729,0.9147437399381741,0.9154730560624067,0.001962242255226854,12
140.44804096221924,2.0589182788061167,2.918825626373291,0.09344951964792653,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.918440990512305,0.9126510551313654,0.9149818088300922,0.9153579514912541,0.002378648132171392,13
408.13731360435486,4.677253535935486,12.17058809598287,0.43642163950210183,20,5,300,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",0.9182111846777704,0.9130460941436597,0.9144568620711796,0.9152380469642032,0.0021797901174511183,15
696.7105848789215,7.44469514474313,14.520402352015177,0.3962631411216325,20,5,500,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 500}",0.9182617455810972,0.913235133578519,0.9143732964884067,0.915290058549341,0.0021520604953380548,14
132.05057199796042,1.1528410727048783,3.5451884269714355,0.18544875237146397,20,10,100,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.9174886285215362,0.9123405278120998,0.9141436059610022,0.9146575874315461,0.0021328959878799698,17
432.69061009089154,3.2145782796457265,10.03512461980184,0.10596449791400103,20,10,300,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 300}",0.9173023433034864,0.9124740936533206,0.9139610940735795,0.9145791770101289,0.002018996212382387,18
708.1599980990092,9.473682523863971,16.679157574971516,0.6348809683965595,20,10,500,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 500}",0.9172372299185853,0.9127446153614877,0.9140370131510962,0.9146729528103897,0.0018884227682306838,16
188.04000957806906,3.5600618100956174,7.309259017308553,0.41146232848643494,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9266773607771925,0.9269520817891975,0.927144540440241,0.9269246610022103,0.0001917083445597491,1
571.4682087103525,9.833833390021335,26.559300581614178,1.3385377975556654,,2,300,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 300}",0.9266012961706899,0.9267684685814624,0.9268769832109335,0.9267489159876953,0.00011339477936789047,2
950.9871246814728,12.707633397414876,40.62184063593546,1.2798203648175894,,2,500,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}",0.9265006172960474,0.9267415201928164,0.9267785127264335,0.9266735500717657,0.00012321098591198276,3
195.03106498718262,2.6672782250103078,6.682881275812785,0.29002605135051,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9263657026412728,0.9262948441251699,0.926603818587756,0.9264214551180663,0.00013215535966942885,7
572.1382490793864,7.600232743866273,22.14365029335022,0.622784189936122,,5,300,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 300}",0.9265204257936617,0.9264927127409497,0.9265934856655704,0.9265355414000606,4.2506130944133225e-05,5
827.8882946968079,9.079065591405234,24.026095072428387,1.1566540617194234,,5,500,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 500}",0.9265392814596527,0.9264552627661158,0.9266434632982675,0.926546002508012,7.697938877316661e-05,4
187.59629464149475,3.494334844741725,8.15338365236918,0.9032178430708492,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9262848751835536,0.926431840515537,0.9262275860990823,0.9263147672660578,8.602371420187238e-05,9
455.30713868141174,7.79466246775812,13.399977604548136,0.6562974874315404,,10,300,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 300}",0.9264864864864865,0.9264806097112018,0.9262547251312482,0.9264072737763122,0.00010789485917650847,8
598.0021386146545,10.008712553183326,15.425629695256552,0.30299428840527803,,10,500,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 500}",0.9265105639595459,0.9265348171302553,0.9264018828607286,0.9264824213168433,5.780361152136835e-05,6
