round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.843388457682299,0.4620524609279798,6.269122683419586e-05,0.05236500140100764
2,0.8743170476179748,0.546067771026797,0.0002030460835169745,0.04948105858971581
3,0.8920259324764275,0.5907001828344163,0.00040049973023124956,0.05036742596114674
4,0.8911134517680721,0.7035636638665508,0.009937589223220052,0.05075280713679671
5,0.897213554281337,0.7337186434616492,0.018621243758742835,0.051648066984791054
6,0.9012098818281156,0.7329695765253714,0.013353112733179653,0.05098228918908981
7,0.9060116707409118,0.7064483679234228,0.0046997150808062065,0.05198523000331838
8,0.9051611485991731,0.7326288717398753,0.008184733756061366,0.050596671027087856
9,0.9058145298471313,0.7300686102134885,0.007568898031907313,0.049958179161564184
10,0.8989427615496401,0.7432804706012184,0.019193140640441593,0.05192799062758263
11,0.9006071939528438,0.7471574204199413,0.018660025568805673,0.053148374090629336
12,0.8970699230587255,0.736605875823919,0.019448663510978438,0.05204785691420134
13,0.9013366152598317,0.7369139566304602,0.015552273307823663,0.05343988797773317
14,0.9001143417183926,0.7406601642856112,0.018322979879351383,0.05195752131085053
15,0.8980697090200407,0.7434266312789101,0.021085431169740307,0.05519020198837696
16,0.896912210343701,0.7424637531579303,0.02267606935630421,0.055010987072857856
17,0.9002269936576958,0.7484354025689981,0.01987649062055192,0.054974626658723595
18,0.9010465365161261,0.74772945094787,0.01895201335473306,0.05304353890225822
19,0.9004269508499589,0.7385621315159372,0.015060355596162964,0.053733324568961474
20,0.8977514672915093,0.7419914271902615,0.020137944159499144,0.05429728052210892
