round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9407791592226638,0.8674437037707304,0.00033894150605576174,0.10758301182897217
2,0.9519542786305465,0.9001256957299756,0.010356546018370497,0.10478597694019177
3,0.9498669194589274,0.8995936060608096,0.011699758653480368,0.10403695218571227
4,0.9499398403033507,0.9003840600835914,0.012088913715988836,0.10402167746307107
5,0.9527564079192037,0.9016453581969912,0.010745701080878965,0.1041994946670315
6,0.9506599336420316,0.9030335689457825,0.014047242417644348,0.10313001426014733
7,0.9511065738141248,0.9013424262468094,0.012101467105102012,0.1030365246115932
8,0.9484540780982245,0.9013951771591289,0.01466235848418999,0.1028530089426512
9,0.950714624275349,0.9021994399147214,0.013155951790608826,0.10357094976616435
10,0.9487548765814708,0.9013816013737682,0.013896601748286231,0.10325748074624284
11,0.9512797608196303,0.9023840692386523,0.012465515389384126,0.10334161878423155
12,0.9462573376599701,0.8964289576603972,0.011913166268404366,0.10498867498989682
13,0.947332920115215,0.9039944168662977,0.017989006599181723,0.10416912755112197
14,0.9491832865424582,0.9042462654761955,0.01641983296003468,0.10376875022497112
15,0.9503226747365735,0.9024128883814095,0.013457233129325058,0.10311141298506121
16,0.9489280635869763,0.9010606721599304,0.01348233990755141,0.10312610598564591
17,0.9481441645094251,0.9006651153281211,0.013884048359173055,0.10335552554045185
18,0.9509516170197251,0.9028389711295244,0.013344252627306472,0.1035907432973838
19,0.9503135596310206,0.9014602629781606,0.01249062216761048,0.10375005473523793
20,0.948609034892624,0.9051895428264418,0.01741155069997561,0.10383429235691834
