round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9038211322582644,0.873769365082819,0.017247158522135982,0.028315530088091782
2,0.9096057767589094,0.8680355828794613,0.006986335470330941,0.05085782627830617
3,0.4553224925227697,1.0,0.6568811214793395,0.015646473628548433
4,0.8911985535572466,0.8906224844668295,0.04292586506408583,0.0515474101837455
5,0.9051109896980383,0.8442425951680819,9.025407825909623e-05,0.03158364223602157
6,0.9119404750505522,0.8558811245096272,0.000277617878064944,0.04792081146127755
7,0.9117517841150395,0.8555625343640606,0.00019697299292817513,0.07611147529134116
8,0.4036211761922732,1.0,0.7248698719495708,0.04433824217091749
9,0.27287525557764775,1.0,0.8781257664972751,0.0011694527305677572
10,0.9127543807276147,0.8600387662214568,0.0017885717520153737,0.05421439791025569
11,0.9079610677090667,0.850715286655502,9.753821764372296e-05,0.02637342783122375
12,0.290648815189902,1.0,0.8571217343964067,0.09734180255397608
13,0.5606148508215096,0.9960695220995988,0.5295173039059571,0.03736958912482892
14,0.912455854769938,0.8567150804226682,0.0002402271254571157,0.04479019039044764
15,0.9054151482209543,0.8469499224172903,8.243357099660246e-05,0.025465877997098735
16,0.9053391085902253,0.8479469238446589,0.00019606520641027672,0.013767571508595026
17,0.8498527084189953,0.8682137420865776,0.08354458995039175,0.12841427987222356
18,0.27600696185063567,1.0,0.8745510575860596,0.010209345301914812
19,0.2719824939872366,1.0,0.8791531249906839,0.007173759528117242
20,0.6685348008043303,0.9503279945507712,0.3678305328527507,0.08179016271624494
