round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.808603816095191,0.2458218660182887,0.0001319749595855577,0.1148216257384102
2,0.839878898824192,0.3311113608328023,0.0003189881933383514,0.11756265988313883
3,0.8421009645849468,0.33822658792992194,0.0002587132455878232,0.11706314406254445
4,0.8807153418291911,0.3883601300019718,0.00040286583084196177,0.11719177803427037
5,0.9003506301485601,0.41300074857313995,0.00035847076792243945,0.1167383659427603
6,0.8972724072379075,0.41008515824019076,0.0004044485324077343,0.116708035672803
7,0.9006773216926002,0.41452816484422667,0.00029154934387415343,0.11738807445152173
8,0.8993705555164402,0.4126573531787473,0.00020189817675637093,0.11706888753491591
9,0.9035302400901217,0.4176770621215856,0.00016727599496353524,0.11797054834148017
10,0.9042596634513835,0.41866035989318506,0.00016631195443315159,0.1170423963927482
11,0.90459762022108,0.4184282097593531,0.00011642854884469887,0.11777047823834341
12,0.90467929310709,0.41881340522684257,8.127879986327238e-05,0.1182502073173636
13,0.9041441948884038,0.41821708043407835,6.086270748887204e-05,0.11731407550963348
14,0.9042765612898683,0.4178872344426244,4.9061362612330946e-05,0.11632115451096621
15,0.9069802154474407,0.4212399097139421,7.559636409589823e-05,0.12011650219249989
16,0.9057269590931493,0.41943640918188274,8.643366844205568e-05,0.11800450641150584
17,0.905842427656129,0.42031653120002155,7.222757902362032e-05,0.12313485466533458
18,0.9064929944377947,0.42112966273006813,9.885367435398564e-05,0.12197426426029812
19,0.9044821516581003,0.41857784614494664,0.00010453611012135977,0.11922260126510037
20,0.9042117862423431,0.4182467193427253,8.748880281923734e-05,0.11848823942114814
