Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 16
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 70814, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.6300
Accuracy: 0.9635838059
Detection Rate: 0.8829362449
False Positive Rate: 0.0062885102

--- Per-Round Attention Weights ---
Round 1: α = [0.03732915995020944, 0.03732915995020944, 0.08177309760761894, 0.03732915995020944, 0.05964157921698461, 0.08092006342161721, 0.08455875483365115, 0.08103283475200372, 0.08099196022199441, 0.046854391786284706, 0.07813362848774932, 0.03732915995020944, 0.05771208320227069, 0.05147372768083794, 0.08828612712924482, 0.05930511185890473]
  Client 0: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 1: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 2: DR=0.9442, FPR=0.1695, Score=0.7842
  Client 3: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 4: DR=0.4735, FPR=0.0104, Score=0.4686
  Client 5: DR=0.9298, FPR=0.1679, Score=0.7737
  Client 6: DR=0.9873, FPR=0.1718, Score=0.8177
  Client 7: DR=0.8224, FPR=0.0575, Score=0.7751
  Client 8: DR=0.9310, FPR=0.1680, Score=0.7746
  Client 9: DR=0.2403, FPR=0.0544, Score=0.2273
  Client 10: DR=0.8891, FPR=0.1692, Score=0.7386
  Client 11: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 12: DR=0.7563, FPR=0.4239, Score=0.4357
  Client 13: DR=0.3215, FPR=0.0008, Score=0.3213
  Client 14: DR=0.9234, FPR=0.0678, Score=0.8608
  Client 15: DR=0.4655, FPR=0.0056, Score=0.4629
Round 2: α = [0.0618941566156877, 0.06184797018685949, 0.0618941566156877, 0.06410851151891071, 0.0618941566156877, 0.0618941566156877, 0.0621871995953603, 0.0634415441966922, 0.061854649575636744, 0.06266070595392334, 0.06421249228779079, 0.061885913343647056, 0.0622615397016812, 0.06344049603513797, 0.0626107305890987, 0.06191162055251072]
  Client 0: DR=0.7728, FPR=0.0106, Score=0.7646
  Client 1: DR=0.7724, FPR=0.0110, Score=0.7639
  Client 2: DR=0.7728, FPR=0.0106, Score=0.7646
  Client 3: DR=0.8092, FPR=0.0116, Score=0.7998
  Client 4: DR=0.7728, FPR=0.0106, Score=0.7646
  Client 5: DR=0.7728, FPR=0.0106, Score=0.7646
  Client 6: DR=0.7779, FPR=0.0110, Score=0.7694
  Client 7: DR=0.7980, FPR=0.0109, Score=0.7893
  Client 8: DR=0.7723, FPR=0.0107, Score=0.7640
  Client 9: DR=0.7843, FPR=0.0094, Score=0.7769
  Client 10: DR=0.8101, FPR=0.0107, Score=0.8014
  Client 11: DR=0.7730, FPR=0.0110, Score=0.7645
  Client 12: DR=0.7777, FPR=0.0093, Score=0.7705
  Client 13: DR=0.7977, FPR=0.0106, Score=0.7893
  Client 14: DR=0.7847, FPR=0.0108, Score=0.7761
  Client 15: DR=0.7720, FPR=0.0092, Score=0.7649
Round 3: α = [0.06256200414557014, 0.06256200414557014, 0.06255386687870623, 0.06256200414557014, 0.06256344625819599, 0.06260540241897854, 0.06256200414557014, 0.06227412208695622, 0.06257900022078855, 0.06256344625819599, 0.0626037990210506, 0.06257851939948747, 0.062306806908846414, 0.062276674078345716, 0.06257851939948747, 0.0622683804886802]
  Client 0: DR=0.8030, FPR=0.0107, Score=0.7945
  Client 1: DR=0.8030, FPR=0.0107, Score=0.7945
  Client 2: DR=0.8029, FPR=0.0107, Score=0.7943
  Client 3: DR=0.8030, FPR=0.0107, Score=0.7945
  Client 4: DR=0.8031, FPR=0.0107, Score=0.7945
  Client 5: DR=0.8037, FPR=0.0107, Score=0.7952
  Client 6: DR=0.8030, FPR=0.0107, Score=0.7945
  Client 7: DR=0.7984, FPR=0.0107, Score=0.7898
  Client 8: DR=0.8033, FPR=0.0107, Score=0.7947
  Client 9: DR=0.8031, FPR=0.0107, Score=0.7945
  Client 10: DR=0.8037, FPR=0.0107, Score=0.7951
  Client 11: DR=0.8033, FPR=0.0107, Score=0.7947
  Client 12: DR=0.7989, FPR=0.0107, Score=0.7904
  Client 13: DR=0.7984, FPR=0.0107, Score=0.7899
  Client 14: DR=0.8033, FPR=0.0107, Score=0.7947
  Client 15: DR=0.7983, FPR=0.0107, Score=0.7898
Round 4: α = [0.062466972470955756, 0.06251259716725216, 0.0625206027077212, 0.06251259716725216, 0.0625206027077212, 0.06251259716725216, 0.06246296855457659, 0.06247144787484788, 0.06251259716725216, 0.06252108307274978, 0.06251728237567117, 0.062512799367276, 0.062466972470955756, 0.062512799367276, 0.06250862839806046, 0.06246745196317972]
  Client 0: DR=0.8362, FPR=0.0117, Score=0.8265
  Client 1: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 2: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 3: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 4: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 5: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 6: DR=0.8361, FPR=0.0117, Score=0.8264
  Client 7: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 8: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 9: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 10: DR=0.8362, FPR=0.0107, Score=0.8273
  Client 11: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 12: DR=0.8362, FPR=0.0117, Score=0.8265
  Client 13: DR=0.8361, FPR=0.0107, Score=0.8272
  Client 14: DR=0.8361, FPR=0.0107, Score=0.8271
  Client 15: DR=0.8362, FPR=0.0117, Score=0.8265
Round 5: α = [0.0623467696750304, 0.0623467696750304, 0.062399022518312905, 0.063081035084143, 0.06308366983332336, 0.06239582640651046, 0.06234326027719897, 0.0623467696750304, 0.0623467696750304, 0.06308442460228249, 0.06239589369142885, 0.06234724824458589, 0.0623467696750304, 0.06239598620821249, 0.06239183149696882, 0.06234795326188078]
  Client 0: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 1: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 2: DR=0.8363, FPR=0.0107, Score=0.8274
  Client 3: DR=0.8481, FPR=0.0117, Score=0.8382
  Client 4: DR=0.8484, FPR=0.0119, Score=0.8383
  Client 5: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 6: DR=0.8362, FPR=0.0117, Score=0.8265
  Client 7: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 8: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 9: DR=0.8482, FPR=0.0117, Score=0.8383
  Client 10: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 11: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 12: DR=0.8363, FPR=0.0117, Score=0.8265
  Client 13: DR=0.8363, FPR=0.0107, Score=0.8273
  Client 14: DR=0.8362, FPR=0.0107, Score=0.8272
  Client 15: DR=0.8363, FPR=0.0117, Score=0.8265
Round 6: α = [0.06250920916248875, 0.062491281530754964, 0.062491281530754964, 0.06251337166963827, 0.062491281530754964, 0.06251032981022436, 0.062491281530754964, 0.06251032981022436, 0.06248625652947774, 0.06250984953016332, 0.06251357687972048, 0.06250984953016332, 0.06248856082184605, 0.06250893406772529, 0.06248604524346215, 0.06248856082184605]
  Client 0: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 1: DR=0.8482, FPR=0.0107, Score=0.8391
  Client 2: DR=0.8482, FPR=0.0107, Score=0.8391
  Client 3: DR=0.8486, FPR=0.0107, Score=0.8395
  Client 4: DR=0.8482, FPR=0.0107, Score=0.8391
  Client 5: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 6: DR=0.8482, FPR=0.0107, Score=0.8391
  Client 7: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 8: DR=0.8481, FPR=0.0107, Score=0.8390
  Client 9: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 10: DR=0.8486, FPR=0.0107, Score=0.8395
  Client 11: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 12: DR=0.8482, FPR=0.0107, Score=0.8391
  Client 13: DR=0.8485, FPR=0.0107, Score=0.8394
  Client 14: DR=0.8481, FPR=0.0107, Score=0.8390
  Client 15: DR=0.8482, FPR=0.0107, Score=0.8391
Round 7: α = [0.0625136856790984, 0.06250804946552127, 0.062458289708904074, 0.0625136856790984, 0.0625136856790984, 0.0625136856790984, 0.06251349236362776, 0.0625136856790984, 0.062464369998802595, 0.062460047503701446, 0.06251992999091133, 0.0625136856790984, 0.062460047503701446, 0.06251128418677658, 0.0625112511128944, 0.06251112409056866]
  Client 0: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 1: DR=0.8493, FPR=0.0108, Score=0.8402
  Client 2: DR=0.8493, FPR=0.0117, Score=0.8394
  Client 3: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 4: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 5: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 6: DR=0.8494, FPR=0.0108, Score=0.8403
  Client 7: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 8: DR=0.8496, FPR=0.0119, Score=0.8395
  Client 9: DR=0.8494, FPR=0.0117, Score=0.8394
  Client 10: DR=0.8495, FPR=0.0107, Score=0.8404
  Client 11: DR=0.8494, FPR=0.0107, Score=0.8403
  Client 12: DR=0.8494, FPR=0.0117, Score=0.8394
  Client 13: DR=0.8493, FPR=0.0107, Score=0.8402
  Client 14: DR=0.8494, FPR=0.0108, Score=0.8402
  Client 15: DR=0.8493, FPR=0.0107, Score=0.8402
Round 8: α = [0.062497808768024875, 0.06250410547003453, 0.06250064241155849, 0.062497808768024875, 0.0624982888194405, 0.062497808768024875, 0.06249760204559993, 0.062497808768024875, 0.06250133810575294, 0.06249983118733628, 0.06250474564333128, 0.06249961708450757, 0.06250064241155849, 0.06250090470189924, 0.0625000378664353, 0.06250100918044589]
  Client 0: DR=0.8550, FPR=0.0110, Score=0.8456
  Client 1: DR=0.8551, FPR=0.0109, Score=0.8457
  Client 2: DR=0.8551, FPR=0.0110, Score=0.8457
  Client 3: DR=0.8550, FPR=0.0110, Score=0.8456
  Client 4: DR=0.8551, FPR=0.0110, Score=0.8457
  Client 5: DR=0.8550, FPR=0.0110, Score=0.8456
  Client 6: DR=0.8550, FPR=0.0110, Score=0.8456
  Client 7: DR=0.8550, FPR=0.0110, Score=0.8456
  Client 8: DR=0.8551, FPR=0.0109, Score=0.8457
