round,accuracy,detection_rate,false_positive_rate
1,0.9776169951776453,0.8286655567097961,0.0018856717359031641
2,0.9799642767972035,0.8115159435606241,0.0018904208118673
3,0.9681200374121908,0.9163589663370384,0.0018263631297338893
4,0.976320316980345,0.9220368618499782,0.0019375080522474127
5,0.778606543481946,0.7764788578249329,0.0
6,0.9749076972469701,0.7766813638967762,0.0005188333683980649
7,0.8750369533084079,0.8568661250123683,0.0017713296562433777
8,0.9268484138652845,0.8735536804874809,0.00011918794703440632
9,0.9864201052164544,0.8006316655920631,0.0004844898142823192
10,0.9735273278115761,0.7523658185354888,0.0005140522828229182
11,0.9779301422177564,0.7913565460433918,0.00016019162254386104
12,0.9356111081498855,0.9177372367855742,0.0014880481138548605
13,0.9657009330522738,0.9498541946934222,0.0015165132594274927
14,0.9365100559125428,0.935738658341187,0.0
15,0.9873280421546589,0.7989592899625859,0.0004976287038261297
16,0.9779938655613144,0.787181877457188,0.00025138976349398453
17,0.9920070075550202,0.8464099563511427,0.00042737229630193267
18,0.9883096989459316,0.8544319367351754,0.0007031423938769837
19,0.9467897113685451,0.9466928871474203,0.0
20,0.9524336160847591,0.9126692775659045,0.0012950993663076046
