round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8763900535968205,0.7215927086776219,0.013508776173448608,0.305897671546837
2,0.9296222700258869,0.8356904481803267,0.0035723788838388443,0.24510123210195392
3,0.9399405695117949,0.8621991831102793,0.004773721727441883,0.21755005900824664
4,0.94086119517264,0.8803337188549505,0.016098557221615267,0.20631848002660919
5,0.9426751011776717,0.8779221059664016,0.011277459956553323,0.19918585301865221
6,0.9444343165493856,0.8765614170832449,0.0073010233550384555,0.19385406482118986
7,0.945436978160207,0.88482916470718,0.011464914458925307,0.18931271724130488
8,0.9461661866044409,0.8816512471165933,0.007956442858588894,0.18572203912271135
9,0.9466128267765341,0.882067893072831,0.0074882821513021815,0.1825751697022759
10,0.9469045101542275,0.8864091229667057,0.010077553843754587,0.1798963420579634
11,0.9474696466985087,0.8850489558554308,0.008143329342306986,0.17788890043682873
12,0.9481168191927662,0.8845005410095222,0.0066459168849776935,0.17595210754039342
13,0.9485087687315419,0.8849391622673762,0.006287474440933737,0.1742519020896946
14,0.9487731067925766,0.8837326215466585,0.004977121868031659,0.17274934170498374
15,0.9484085025704597,0.880224476088935,0.0031046460520498267,0.17130957781158623
16,0.9490374448536114,0.8821101590750335,0.003369781602732604,0.16992251963037416
17,0.9484176176760127,0.8784043754091729,0.00179400750677925,0.1688693262652686
18,0.948973639114741,0.8798294709965304,0.0018564325372118927,0.1678361831379299
19,0.9493017829146461,0.8806403724019432,0.0018718329435926345,0.16697167815303376
20,0.9496299267145514,0.8820221809659612,0.002293066720249932,0.16595024784679802
