round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9046377657053268,0.7966006925514114,0.007193091961850054,0.17621972600287336
2,0.4183377693513691,0.9999817697888942,0.8010443127008968,0.14646539127429484
3,0.49519633937360996,0.9980722912500382,0.6936626222267862,0.14149876419939483
4,0.4232052357166296,0.9998240590882349,0.7941901622451025,0.1383936905942074
5,0.7916833776935137,0.9257036461179102,0.24733942569691383,0.13631650076567525
6,0.6065464688081088,0.9904125787919871,0.5354522592334244,0.13472271211649364
7,0.7871167098114995,0.9276387631998768,0.2547961388301406,0.13291838199351375
8,0.7648029314179459,0.9277913927814039,0.28590343705259164,0.13153875264434797
9,0.7519050570605608,0.9285244022646086,0.30414351143403684,0.1302412353162429
10,0.8494913771101469,0.9193488675800254,0.1642987567132522,0.12925367466536
11,0.8187005505523753,0.9245539019395934,0.20967925835738474,0.1283730051387915
12,0.8693531921099646,0.9167066125054145,0.13570213631343644,0.12762199224426346
13,0.8898621796040398,0.913576796156691,0.10520995415753107,0.12687446311517603
14,0.9214642505560214,0.9019529445729181,0.05443149519473269,0.12634779424795817
15,0.8099044736938055,0.9253685206793874,0.2222828610270138,0.125730319204832
16,0.8955226601524046,0.9108565391185245,0.09629704788717586,0.12508553729795874
17,0.7987840449192402,0.9261534668896501,0.2382131118116346,0.12477751416395567
18,0.8906734239982499,0.9136700806791554,0.1047203719821172,0.12413881415264387
19,0.8770189958799723,0.9155700174190714,0.12494388184344432,0.12370337567641518
20,0.878459182557334,0.9163049274217617,0.12317385397848646,0.12315334850095916
