round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.8417161920735041,0.6202514435445418,0.0007486607450140346,0.24299711014760883
2,0.9437871440551282,0.8850613124949633,0.014444875877401914,0.1986906258929241
3,0.9440514821161629,0.8929993755245806,0.01963874513821948,0.18615626327340193
4,0.9449174171436905,0.8935922071343393,0.01857786640971803,0.18033573555581345
5,0.9459838844933824,0.8927607787569345,0.016159126230425938,0.1760500633153783
6,0.9472417690596857,0.8933091114698155,0.014396665840632965,0.17299886987235535
7,0.9466492871987457,0.8985056706016559,0.019107659515085078,0.17053137823904146
8,0.9492106318591169,0.8967509420537854,0.01347637810441538,0.16829808712468697
9,0.9483355817260364,0.902079560876606,0.018763759273794298,0.1665619389513161
10,0.9492562073868815,0.9028698433563229,0.017749878846654903,0.1649019888389502
11,0.9508240055419842,0.9036580501698745,0.015628848430896132,0.16328445270275577
12,0.9517810916250411,0.902342402925542,0.013055089821726538,0.16194707807416617
13,0.9532121631968498,0.8984614910380343,0.007845258258466601,0.1607236354449084
14,0.9533762350968025,0.8978905097101443,0.00715988124669883,0.15969875371891581
15,0.9534218106245671,0.8989219436235565,0.007814222259546918,0.1587197857397064
16,0.9537043788967077,0.896643127644095,0.005708669452067761,0.15784310804548515
17,0.9544153571298355,0.9012025159359269,0.007736430306346556,0.15689962237264674
18,0.9528202136580741,0.9032649047628674,0.011932219877746175,0.15616417236599528
19,0.9540963284354833,0.9048874139531293,0.010902377148164407,0.1554227604058469
20,0.9533762350968025,0.9062255501458429,0.013086287385367143,0.15475174861062882
