round,accuracy,detection_rate,false_positive_rate
1,0.9612685209253964,0.9602595042945586,0.016653487110028776
2,0.957745052818684,0.8676133561878419,0.004532195305646308
3,0.9569263758248318,0.8648323037924586,0.004001042870108246
4,0.953675656479141,0.8751282818491747,0.007049518459854641
5,0.9833214030064423,0.9517064507315134,0.0013808448528936747
6,0.9612685209253964,0.959878952352099,0.008326743555014388
7,0.9602201761851602,0.8759569703715652,0.004207970855415934
8,0.9612685209253964,0.959987681478516,0.010705813142161357
9,0.9585732760049959,0.8763048300609431,0.006670090130048997
10,0.960956589550299,0.9594984004096392,0.007137208761440904
11,0.9605517668254617,0.8777230576412296,0.004485137430253882
12,0.9611425485718142,0.8850386719200297,0.007005752602742005
13,0.9625937967577541,0.8789760347178024,0.0024097235603964527
14,0.9630437961952548,0.8809969137852115,0.0026171832046689948
15,0.9835361488904797,0.9532430636627836,0.0018057201922455743
16,0.9606070319321787,0.8724141224371738,0.0021716519158298873
17,0.9560780463347887,0.8832677286506624,0.006721624861841579
18,0.9839656406585542,0.9532430636627836,0.0011684071832177246
19,0.9617884065505589,0.9604225979841843,0.008326743555014388
20,0.9601759640997867,0.8774340596273732,0.004881235655827658
