round,accuracy,detection_rate,false_positive_rate
1,0.943542912119672,0.7842636766251297,0.005686495724666603
2,0.9740278505246808,0.7921586941256016,0.007001914907617669
3,0.9741073202449111,0.792681670071467,0.007001914907617669
4,0.9662637679963698,0.7877104197866569,0.005974113215307771
5,0.8347754955968251,0.8182433639712337,0.0029456563615956797
6,0.9449201035027213,0.7818466537598895,0.004749253635530866
7,0.9033497834268267,0.8293301064921325,0.004247795709941968
8,0.94555244771522,0.7824807322040302,0.004749253635530866
9,0.9677241037910977,0.78717441775087,0.0043473219615738565
10,0.9429616764128547,0.8435194101717567,0.006421874124470947
11,0.9429102905357492,0.8435194101717567,0.006507744077831551
12,0.9399098203507775,0.8654029916165178,0.0035433873761324956
13,0.9139176114214138,0.9047586264398024,0.0034441520535580254
14,0.9140326435665077,0.9047586264398024,0.00303629194195247
15,0.9648758006137229,0.8194599179113626,0.004871137135911747
16,0.976635902252244,0.810988906367068,0.0059581815304251134
17,0.9649689065100417,0.8193942808145327,0.004850122739294353
18,0.9401494709933962,0.865862395106366,0.0035433873761324956
19,0.9143393959534247,0.9050405873028198,0.0029456563615956797
20,0.9143266146039699,0.905058389573133,0.00303629194195247
