round,accuracy,detection_rate,false_positive_rate,train_loss
1,0.9594932093701578,0.872271202739159,0.0001771754682948729,0.0730006363650847
2,0.9599671862182116,0.8730563702788384,8.586814717098639e-05,0.06804167956022163
3,0.9611885880958891,0.8754075096103089,8.586814717098639e-05,0.06737654157420649
4,0.9626652082763649,0.8811976639674874,0.0017990939756442129,0.0673265310514596
5,0.9627837024883785,0.8828995875180544,0.002726717156125525,0.06694112264658816
6,0.9615714155500867,0.8862754418553975,0.006365042702437368,0.06704886885340716
7,0.9585999453103637,0.8886495630556486,0.011839070239645812,0.06673592357332428
8,0.9587093245829916,0.8887539365061401,0.011740407934242997,0.0666599336027319
9,0.9611521283383465,0.8863116450752806,0.006892885744379707,0.0669083253241558
10,0.9604411630662657,0.8876968657871005,0.00887650879123235,0.06634286356953904
11,0.9605414273995079,0.887905351064053,0.00884916535444076,0.06650571922097424
12,0.961297967368517,0.8871655026982168,0.0073606055015167,0.06629253694407737
13,0.9616625649439432,0.8866794536968055,0.006503839840132864,0.06683795438688998
14,0.9612615076109744,0.8874055659452621,0.007475426020145491,0.06643154106422834
15,0.9610700938838758,0.8871158209131887,0.007639811474304641,0.06617896001083223
