round,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
1,0.945591,0.027581,0.906526,0.060317,0.165205,0.226353
2,0.961358,0.014619,0.873522,0.015140,0.008231,0.000535
3,0.958771,0.023379,0.904123,0.016068,0.005271,0.003047
4,0.946138,0.003781,0.916660,0.025409,0.169716,0.229292
5,0.974047,0.013986,0.921916,0.045025,0.198218,0.274503
6,0.949877,0.023575,0.923088,0.021991,0.012344,0.010566
7,0.962639,0.011749,0.929300,0.039251,0.199722,0.273428
8,0.980993,0.019681,0.917070,0.033435,0.068714,0.093369
9,0.964300,0.009895,0.916311,0.044750,0.198956,0.275260
10,0.980314,0.003909,0.947565,0.030015,0.197890,0.277306
11,0.950537,0.022374,0.920233,0.009903,0.018110,0.018212
12,0.968847,0.012786,0.938575,0.028818,0.200082,0.275761
13,0.947524,0.017627,0.927510,0.021370,0.017054,0.014722
14,0.971995,0.019244,0.907321,0.036068,0.069444,0.092975
15,0.946350,0.016674,0.920747,0.011122,0.020139,0.019015
16,0.975947,0.009619,0.934229,0.021589,0.006156,0.004549
17,0.961121,0.012337,0.910512,0.030422,0.168997,0.233889
18,0.981204,0.013760,0.916027,0.031415,0.001462,0.001023
19,0.967922,0.008854,0.904183,0.028071,0.007300,0.006280
20,0.964474,0.008466,0.912804,0.045640,0.198401,0.276304
